"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_conf_blue_5x5.mnt",0.3655439826,0.206493477144016,0.159050505455984,1.77024469564749,77.0244695647489,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.159050505455984,77.0244695647489,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_conf_green_5x5.mnt",0.4159438453,0.206493477144016,0.209450368155984,2.01431953712468,101.431953712468,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.209450368155984,101.431953712468,"conf","green","conf_green"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_conf_red_5x5.mnt",0.5282131914,0.206493477144016,0.321719714255984,2.55801393199266,155.801393199266,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.321719714255984,155.801393199266,"conf","red","conf_red"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_fusion_blue_5x5.mnt",0.4950588639,0.206493477144016,0.288565386755984,2.39745521624748,139.745521624748,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.288565386755984,139.745521624748,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_fusion_green_5x5.mnt",0.5265376343,0.206493477144016,0.320044157155984,2.54989959771356,154.989959771356,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.320044157155984,154.989959771356,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_fusion_red_5x5.mnt",0.66820769,0.206493477144016,0.461714212855984,3.23597480773675,223.597480773675,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.461714212855984,223.597480773675,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_FV_blue_5x5.mnt",0.4817987817,0.206493477144016,0.275305304555984,2.33323971470526,133.323971470526,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.275305304555984,133.323971470526,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_FV_green_5x5.mnt",0.2777886268,0.206493477144016,0.0712951496559842,1.34526586816232,34.5265868162317,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.0712951496559842,34.5265868162317,"FV","green","FV_green"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_FV_red_5x5.mnt",0.3241791604,0.206493477144016,0.117685683255984,1.56992445903706,56.9924459037057,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.117685683255984,56.9924459037057,"FV","red","FV_red"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_int_blue_5x5.mnt",0.2953772733,0.206493477144016,0.0888837961559842,1.43044360231289,43.0443602312888,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.0888837961559842,43.0443602312888,"int","blue","int_blue"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_int_green_5x5.mnt",0.1535328065,0.206493477144016,-0.0529606706440158,0.743523759798576,-25.6476240201424,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.0529606706440158,25.6476240201424,"int","green","int_green"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_int_red_5x5.mnt",0.2217285619,0.206493477144016,0.0152350847559842,1.07377998068849,7.37799806884879,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.0152350847559842,7.37799806884879,"int","red","int_red"
"P3_ELLOR\ELLOR_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_HON_x10_int_white_5x5.mnt",0.1446761399,0.206493477144016,-0.0618173372440158,0.700632978343901,-29.9367021656099,"ELLOR_HON.xlsx","ELLOR_HON.xlsx",20,0.0429550899704002,0.00960505011534342,0.0618173372440158,29.9367021656099,"int","white","int_white"
