"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_conf_blue_5x5.mnt",1.094737935,1.24040729809985,-0.145669363099848,0.882563281171438,-11.7436718828562,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.145669363099848,11.7436718828562,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_conf_green_5x5.mnt",1.270640355,1.24040729809985,0.0302330569001519,1.02437349163171,2.43734916317126,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.0302330569001519,2.43734916317126,"conf","green","conf_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_conf_red_5x5.mnt",1.347023178,1.24040729809985,0.106615879900152,1.08595231587518,8.5952315875176,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.106615879900152,8.5952315875176,"conf","red","conf_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_fusion_blue_5x5.mnt",1.146896712,1.24040729809985,-0.0935105860998482,0.924612999098687,-7.53870009013128,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.0935105860998482,7.53870009013128,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_fusion_green_5x5.mnt",1.253389925,1.24040729809985,0.0129826269001518,1.01046642253721,1.04664225372099,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.0129826269001518,1.04664225372099,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_fusion_red_5x5.mnt",1.552524165,1.24040729809985,0.312116866900152,1.25162450057999,25.1624500579992,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.312116866900152,25.1624500579992,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_FV_blue_5x5.mnt",0.9315472277,1.24040729809985,-0.308860070399848,0.751001085794171,-24.8998914205829,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.308860070399848,24.8998914205829,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_FV_green_5x5.mnt",0.7386194854,1.24040729809985,-0.501787812699848,0.595465285097463,-40.4534714902537,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.501787812699848,40.4534714902537,"FV","green","FV_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_FV_red_5x5.mnt",0.7723136549,1.24040729809985,-0.468093643199848,0.622629080047408,-37.7370919952592,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.468093643199848,37.7370919952592,"FV","red","FV_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_blue_5x5.mnt",0.3324653412,1.24040729809985,-0.907941956899848,0.268029172118945,-73.1970827881055,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.907941956899848,73.1970827881055,"int","blue","int_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_green_5x5.mnt",1.093959882,1.24040729809985,-0.146447416099848,0.881936025107086,-11.8063974892914,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.146447416099848,11.8063974892914,"int","green","int_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_red_5x5.mnt",1.080140296,1.24040729809985,-0.160267002099848,0.870794857184928,-12.9205142815072,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.160267002099848,12.9205142815072,"int","red","int_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_white_5x5.mnt",1.070002583,1.24040729809985,-0.170404715099848,0.862621966703286,-13.7378033296714,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.0981502461603001,0.0219470622422769,0.170404715099848,13.7378033296714,"int","white","int_white"
