"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_conf_blue_5x5.mnt",0.6082026404,1.34155087671184,-0.733348236311835,0.453357864362711,-54.6642135637289,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.733348236311835,54.6642135637289,"conf","blue","conf_blue"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_conf_green_5x5.mnt",0.6313944974,1.34155087671184,-0.710156379311835,0.470645212463026,-52.9354787536974,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.710156379311835,52.9354787536974,"conf","green","conf_green"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_conf_red_5x5.mnt",0.6886522837,1.34155087671184,-0.652898593011835,0.513325506810371,-48.6674493189629,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.652898593011835,48.6674493189629,"conf","red","conf_red"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_fusion_blue_5x5.mnt",0.7647848964,1.34155087671184,-0.576765980311835,0.570075208980893,-42.9924791019107,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.576765980311835,42.9924791019107,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_fusion_green_5x5.mnt",0.7660097162,1.34155087671184,-0.575541160511835,0.570988196942261,-42.9011803057739,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.575541160511835,42.9011803057739,"fusion","green","fusion_green"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_fusion_red_5x5.mnt",0.8330615054,1.34155087671184,-0.508489371311835,0.620968999283761,-37.9031000716239,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.508489371311835,37.9031000716239,"fusion","red","fusion_red"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_FV_blue_5x5.mnt",1.109853933,1.34155087671184,-0.231696943711835,0.82729172054978,-17.270827945022,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.231696943711835,17.270827945022,"FV","blue","FV_blue"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_FV_green_5x5.mnt",0.5791439843,1.34155087671184,-0.762406892411835,0.431697369330854,-56.8302630669146,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.762406892411835,56.8302630669146,"FV","green","FV_green"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_FV_red_5x5.mnt",0.549207372,1.34155087671184,-0.792343504711835,0.409382440527427,-59.0617559472573,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.792343504711835,59.0617559472573,"FV","red","FV_red"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_int_blue_5x5.mnt",0.5961659411,1.34155087671184,-0.745384935611835,0.444385637137529,-55.5614362862471,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.745384935611835,55.5614362862471,"int","blue","int_blue"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_int_green_5x5.mnt",0.4333358679,1.34155087671184,-0.908215008811835,0.323011132430634,-67.6988867569366,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.908215008811835,67.6988867569366,"int","green","int_green"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_int_red_5x5.mnt",0.4851584482,1.34155087671184,-0.856392428511835,0.361639991909313,-63.8360008090687,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.856392428511835,63.8360008090687,"int","red","int_red"
"P3_MO58A\Mo_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_MR_x10_int_white_5x5.mnt",0.4339305888,1.34155087671184,-0.907620287911835,0.323454440925544,-67.6545559074456,"MO58A_MR.xlsx","MO58A_MR.xlsx",20,0.0305814709390843,0.00683822478717267,0.907620287911835,67.6545559074456,"int","white","int_white"
