"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_conf_blue_5x5.mnt",2.505969196,3.83403950261589,-1.32807030661589,0.653610687706849,-34.6389312293151,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,1.32807030661589,34.6389312293151,"conf","blue","conf_blue"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_conf_green_5x5.mnt",3.146181869,3.83403950261589,-0.687857633615894,0.820591928396517,-17.9408071603483,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.687857633615894,17.9408071603483,"conf","green","conf_green"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_conf_red_5x5.mnt",3.363885124,3.83403950261589,-0.470154378615894,0.877373621660623,-12.2626378339377,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.470154378615894,12.2626378339377,"conf","red","conf_red"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_fusion_blue_5x5.mnt",2.8743717,3.83403950261589,-0.959667802615893,0.749697987733009,-25.0302012266991,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.959667802615893,25.0302012266991,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_fusion_green_5x5.mnt",3.237333657,3.83403950261589,-0.596705845615893,0.844366276036339,-15.5633723963661,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.596705845615893,15.5633723963661,"fusion","green","fusion_green"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_fusion_red_5x5.mnt",3.539616952,3.83403950261589,-0.294422550615894,0.923208263656383,-7.67917363436174,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.294422550615894,7.67917363436174,"fusion","red","fusion_red"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_FV_blue_5x5.mnt",2.58447563,3.83403950261589,-1.24956387261589,0.674086854931114,-32.5913145068886,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,1.24956387261589,32.5913145068886,"FV","blue","FV_blue"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_FV_green_5x5.mnt",2.71381445,3.83403950261589,-1.12022505261589,0.707821202193774,-29.2178797806226,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,1.12022505261589,29.2178797806226,"FV","green","FV_green"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_FV_red_5x5.mnt",2.86601022,3.83403950261589,-0.968029282615893,0.747517133833539,-25.2482866166461,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.968029282615893,25.2482866166461,"FV","red","FV_red"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_int_blue_5x5.mnt",2.480179814,3.83403950261589,-1.35385968861589,0.646884261966477,-35.3115738033523,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,1.35385968861589,35.3115738033523,"int","blue","int_blue"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_int_green_5x5.mnt",3.056500512,3.83403950261589,-0.777538990615894,0.797201100801024,-20.2798899198976,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.777538990615894,20.2798899198976,"int","green","int_green"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_int_red_5x5.mnt",3.000960782,3.83403950261589,-0.833078720615894,0.782715144158661,-21.7284855841339,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.833078720615894,21.7284855841339,"int","red","int_red"
"P3_MO58A\Mo_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_WEDM_R_x10_int_white_5x5.mnt",3.061752806,3.83403950261589,-0.772286696615894,0.798571012090779,-20.1428987909221,"MO58A_WEDM_R.xlsx","MO58A_WEDM_R.xlsx",20,0.100589098692163,0.0224924062471112,0.772286696615894,20.1428987909221,"int","white","int_white"
