"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_blue_5x5.mnt",0.7885066031,0.613993409946964,0.174513193153036,1.28422649221611,28.4226492216114,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.174513193153036,28.4226492216114,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_green_5x5.mnt",0.8860829554,0.613993409946964,0.272089545453036,1.44314733846498,44.3147338464983,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.272089545453036,44.3147338464983,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_conf_red_5x5.mnt",0.971570214,0.613993409946964,0.357576804053036,1.5823788957017,58.2378895701703,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.357576804053036,58.2378895701703,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_blue_5x5.mnt",0.8758073374,0.613993409946964,0.261813927453036,1.42641162463886,42.6411624638856,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.261813927453036,42.6411624638856,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_green_5x5.mnt",0.9748532315,0.613993409946964,0.360859821553036,1.58772588712997,58.7725887129972,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.360859821553036,58.7725887129972,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_fusion_red_5x5.mnt",1.064795222,0.613993409946964,0.450801812053036,1.73421278591895,73.421278591895,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.450801812053036,73.421278591895,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_blue_5x5.mnt",0.9808618188,0.613993409946964,0.366868408853036,1.59751196496511,59.7511964965106,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.366868408853036,59.7511964965106,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_green_5x5.mnt",0.7540534493,0.613993409946964,0.140060039353036,1.22811326161487,22.8113261614867,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.140060039353036,22.8113261614867,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_FV_red_5x5.mnt",0.7674740063,0.613993409946964,0.153480596353036,1.24997108090508,24.9971080905076,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.153480596353036,24.9971080905076,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_blue_5x5.mnt",0.6643707931,0.613993409946964,0.0503773831530361,1.08204873592599,8.20487359259892,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.0503773831530361,8.20487359259892,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_green_5x5.mnt",0.6449701891,0.613993409946964,0.0309767791530361,1.05045132187284,5.04513218728387,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.0309767791530361,5.04513218728387,"int","green","int_green"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_red_5x5.mnt",0.6955307221,0.613993409946964,0.0815373121530361,1.13279835065344,13.2798350653436,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.0815373121530361,13.2798350653436,"int","red","int_red"
"P3_Ti6Al4V\Ti_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MF_x10_int_white_5x5.mnt",0.641141959,0.613993409946964,0.0271485490530361,1.04421635251001,4.42163525100068,"Ti6Al4V_MF.xlsx","Ti6Al4V_MF.xlsx",20,0.0160509902769556,0.00358911053654609,0.0271485490530361,4.42163525100068,"int","white","int_white"
