"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_blue_5x5.mnt",0.1533816056,0.210810420271151,-0.0574288146711511,0.727580759066443,-27.2419240933557,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0574288146711511,27.2419240933557,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_green_5x5.mnt",0.1813609601,0.210810420271151,-0.0294494601711511,0.860303583981891,-13.9696416018109,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0294494601711511,13.9696416018109,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_conf_red_5x5.mnt",0.206627551,0.210810420271151,-0.00418286927115108,0.98015814746837,-1.98418525316298,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.00418286927115108,1.98418525316298,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_blue_5x5.mnt",0.1881597592,0.210810420271151,-0.0226506610711511,0.892554357407869,-10.7445642592131,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0226506610711511,10.7445642592131,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_green_5x5.mnt",0.2178070664,0.210810420271151,0.00699664612884893,1.03318928030147,3.31892803014653,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.00699664612884893,3.31892803014653,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_fusion_red_5x5.mnt",0.2394217518,0.210810420271151,0.0286113315288489,1.13572067022137,13.5720670221368,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0286113315288489,13.5720670221368,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_blue_5x5.mnt",0.271142495,0.210810420271151,0.0603320747288489,1.2861911410795,28.6191141079496,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0603320747288489,28.6191141079496,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_green_5x5.mnt",0.1494569952,0.210810420271151,-0.0613534250711511,0.708963982936724,-29.1036017063276,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0613534250711511,29.1036017063276,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_FV_red_5x5.mnt",0.1504530553,0.210810420271151,-0.0603573649711511,0.713688892164261,-28.6311107835739,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0603573649711511,28.6311107835739,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_blue_5x5.mnt",0.1854345177,0.210810420271151,-0.0253759025711511,0.879626905830785,-12.0373094169215,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0253759025711511,12.0373094169215,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_green_5x5.mnt",0.09056445808,0.210810420271151,-0.120245962191151,0.429601430344445,-57.0398569655555,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.120245962191151,57.0398569655555,"int","green","int_green"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_red_5x5.mnt",0.2842571633,0.210810420271151,0.0734467430288489,1.34840186236705,34.8401862367047,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.0734467430288489,34.8401862367047,"int","red","int_red"
"P3_Ti6Al4V\Ti_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_MR_x10_int_white_5x5.mnt",0.09220024667,0.210810420271151,-0.118610173601151,0.437360954697634,-56.2639045302366,"Ti6Al4V_MR.xlsx","Ti6Al4V_MR.xlsx",20,0.125637967992688,0.0280935036986594,0.118610173601151,56.2639045302366,"int","white","int_white"
