"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_conf_blue_5x5.mnt",0.07175067924,-0.116203788416028,0.187954467656028,-0.617455594331581,-161.745559433158,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.187954467656028,161.745559433158,"conf","blue","conf_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_conf_green_5x5.mnt",0.09359657688,-0.116203788416028,0.209800365296028,-0.805452026614736,-180.545202661474,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.209800365296028,180.545202661474,"conf","green","conf_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_conf_red_5x5.mnt",0.1367547982,-0.116203788416028,0.252958586616028,-1.17685318236266,-217.685318236266,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.252958586616028,217.685318236266,"conf","red","conf_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_fusion_blue_5x5.mnt",0.07751796606,-0.116203788416028,0.193721754476028,-0.667086392936461,-166.708639293646,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.193721754476028,166.708639293646,"fusion","blue","fusion_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_fusion_green_5x5.mnt",0.06879755319,-0.116203788416028,0.185001341606028,-0.592042257208462,-159.204225720846,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.185001341606028,159.204225720846,"fusion","green","fusion_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_fusion_red_5x5.mnt",0.1116615582,-0.116203788416028,0.227865346616028,-0.960911513488989,-196.091151348899,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.227865346616028,196.091151348899,"fusion","red","fusion_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_FV_blue_5x5.mnt",-0.2105839733,-0.116203788416028,-0.0943801848839717,1.8121954212549,81.2195421254902,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.0943801848839717,81.2195421254902,"FV","blue","FV_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_FV_green_5x5.mnt",0.07367142411,-0.116203788416028,0.189875212526028,-0.633984701481886,-163.398470148189,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.189875212526028,163.398470148189,"FV","green","FV_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_FV_red_5x5.mnt",0.1089755213,-0.116203788416028,0.225179309716028,-0.93779663112058,-193.779663112058,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.225179309716028,193.779663112058,"FV","red","FV_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_blue_5x5.mnt",0.03091752946,-0.116203788416028,0.147121317876028,-0.266063007767959,-126.606300776796,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.147121317876028,126.606300776796,"int","blue","int_blue"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_green_5x5.mnt",0.08135194319,-0.116203788416028,0.197555731606028,-0.700079956935198,-170.00799569352,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.197555731606028,170.00799569352,"int","green","int_green"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_red_5x5.mnt",-0.0267840522,-0.116203788416028,0.0894197362160283,0.230492074011467,-76.9507925988534,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.0894197362160283,76.9507925988534,"int","red","int_red"
"P3_1_4301\AU_MR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MR_x10_int_white_5x5.mnt",0.1200807164,-0.116203788416028,0.236284504816028,-1.03336318063996,-203.336318063996,"14301_MR.xlsx","14301_MR.xlsx",20,0.214212014361457,0.047899262570938,0.236284504816028,203.336318063996,"int","white","int_white"
