"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_conf_blue_5x5.mnt",0.02307867174,0.122850922799555,-0.099772251059555,0.187859164702047,-81.2140835297953,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.099772251059555,81.2140835297953,"conf","blue","conf_blue"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_conf_green_5x5.mnt",0.03441592922,0.122850922799555,-0.088434993579555,0.28014383966943,-71.985616033057,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.088434993579555,71.985616033057,"conf","green","conf_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_conf_red_5x5.mnt",-0.04785439703,0.122850922799555,-0.170705319829555,-0.389532255350493,-138.953225535049,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.170705319829555,138.953225535049,"conf","red","conf_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_fusion_blue_5x5.mnt",0.1896372838,0.122850922799555,0.066786361000445,1.5436374386004,54.3637438600396,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.066786361000445,54.3637438600396,"fusion","blue","fusion_blue"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_fusion_green_5x5.mnt",0.00649474018,0.122850922799555,-0.116356182619555,0.0528668408180938,-94.7133159181906,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.116356182619555,94.7133159181906,"fusion","green","fusion_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_fusion_red_5x5.mnt",-0.1717789028,0.122850922799555,-0.294629825599555,-1.39827116382574,-239.827116382574,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.294629825599555,239.827116382574,"fusion","red","fusion_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_FV_blue_5x5.mnt",0.236357921,0.122850922799555,0.113506998200445,1.92394094902848,92.3940949028477,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.113506998200445,92.3940949028477,"FV","blue","FV_blue"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_FV_green_5x5.mnt",0.2133093877,0.122850922799555,0.090458464900445,1.73632710963057,73.6327109630573,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.090458464900445,73.6327109630573,"FV","green","FV_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_FV_red_5x5.mnt",0.1406727074,0.122850922799555,0.017821784600445,1.14506838202203,14.5068382022032,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.017821784600445,14.5068382022032,"FV","red","FV_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_int_green_5x5.mnt",0.1315946593,0.122850922799555,0.00874373650044502,1.07117355166075,7.11735516607507,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.00874373650044502,7.11735516607507,"int","green","int_green"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_int_red_5x5.mnt",0.09807697854,0.122850922799555,-0.024773944259555,0.798341406844974,-20.1658593155026,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.024773944259555,20.1658593155026,"int","red","int_red"
"P3_1_4301\AU_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_WEDM_R_x10_int_white_5x5.mnt",0.1434904813,0.122850922799555,0.020639558500445,1.16800491221479,16.8004912214789,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,0.020639558500445,16.8004912214789,"int","white","int_white"
NA,NA,0.122850922799555,NA,NA,NA,"14301_WEDM_R.xlsx","14301_WEDM_R.xlsx",20,0.0876577668740306,0.0196008725486162,NA,NA,"other","unknown","other_unknown"
