"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_blue_5x5.mnt",-0.1800323181,0.174728116033066,-0.354760434133066,-1.03035688924804,-203.035688924804,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.354760434133066,203.035688924804,"conf","blue","conf_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_green_5x5.mnt",-0.5152008739,0.174728116033066,-0.689928989933066,-2.94858598373773,-394.858598373773,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.689928989933066,394.858598373773,"conf","green","conf_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_conf_red_5x5.mnt",-0.6382061142,0.174728116033066,-0.812934230233066,-3.65256679170754,-465.256679170754,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.812934230233066,465.256679170754,"conf","red","conf_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_blue_5x5.mnt",-0.009193600169,0.174728116033066,-0.183921716202066,-0.0526166044579806,-105.261660445798,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.183921716202066,105.261660445798,"fusion","blue","fusion_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_green_5x5.mnt",-0.1063333277,0.174728116033066,-0.281061443733066,-0.608564495023096,-160.85644950231,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.281061443733066,160.85644950231,"fusion","green","fusion_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_fusion_red_5x5.mnt",-0.3817990705,0.174728116033066,-0.556527186533066,-2.18510380108343,-318.510380108343,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.556527186533066,318.510380108343,"fusion","red","fusion_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_blue_5x5.mnt",0.2338969185,0.174728116033066,0.0591688024669336,1.3386335514299,33.8633551429904,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.0591688024669336,33.8633551429904,"FV","blue","FV_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_green_5x5.mnt",0.1522574152,0.174728116033066,-0.0224707008330664,0.87139619345055,-12.860380654945,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.0224707008330664,12.860380654945,"FV","green","FV_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_FV_red_5x5.mnt",0.1502494407,0.174728116033066,-0.0244786753330664,0.859904199227822,-14.0095800772178,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.0244786753330664,14.0095800772178,"FV","red","FV_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_blue_5x5.mnt",0.2083283099,0.174728116033066,0.0336001938669336,1.192299869247,19.2299869247002,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.0336001938669336,19.2299869247002,"int","blue","int_blue"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_green_5x5.mnt",0.1348124192,0.174728116033066,-0.0399156968330664,0.771555387081994,-22.8444612918006,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.0399156968330664,22.8444612918006,"int","green","int_green"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_red_5x5.mnt",0.0729272784,0.174728116033066,-0.101800837633066,0.417375749568541,-58.2624250431459,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.101800837633066,58.2624250431459,"int","red","int_red"
"P3_Al7075\Al_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GLA_x10_int_white_5x5.mnt",0.1465821795,0.174728116033066,-0.0281459365330664,0.838915812909355,-16.1084187090645,"Al7075_GLA.xlsx","Al7075_GLA.xlsx",20,0.102757413233846,0.0229772561182916,0.0281459365330664,16.1084187090645,"int","white","int_white"
