"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,127.297635907769,146.64938982136,84.6208580530954,146.257233224909,175.287697590203,106.511281182911,343.064750694195,566.740657714829,150.3735851692,514.808315354044,168.043393001448,550.738441982765
"conf_green",127.297635907769,0,19.3517539135909,211.918493960865,18.9595973171401,47.9900616824337,20.7863547248588,215.767114786426,439.44302180706,23.0759492614303,387.510679446275,40.7457570936782,423.440806074996
"conf_red",146.64938982136,19.3517539135909,0,231.270247874456,0.392156596450832,28.6383077688428,40.1381086384497,196.415360872835,420.091267893469,3.72419534783933,368.158925532684,21.3940031800872,404.089052161405
"fusion_blue",84.6208580530954,211.918493960865,231.270247874456,0,230.878091278005,259.908555643299,191.132139236006,427.68560874729,651.361515767925,234.994443222295,599.42917340714,252.664251054543,635.359300035861
"fusion_green",146.257233224909,18.9595973171401,0.392156596450832,230.878091278005,0,29.0304643652937,39.7459520419989,196.807517469285,420.48342448992,4.11635194429016,368.551082129135,21.7861597765381,404.481208757856
"fusion_red",175.287697590203,47.9900616824337,28.6383077688428,259.908555643299,29.0304643652937,0,68.7764164072925,167.777053103992,391.452960124626,24.9141124210035,339.520617763841,7.2443045887556,375.450744392562
"FV_blue",106.511281182911,20.7863547248588,40.1381086384497,191.132139236006,39.7459520419989,68.7764164072925,0,236.553469511284,460.229376531918,43.862303986289,408.297034171134,61.5321118185369,444.227160799854
"FV_green",343.064750694195,215.767114786426,196.415360872835,427.68560874729,196.807517469285,167.777053103992,236.553469511284,0,223.675907020634,192.691165524995,171.74356465985,175.021357692747,207.67369128857
"FV_red",566.740657714829,439.44302180706,420.091267893469,651.361515767925,420.48342448992,391.452960124626,460.229376531918,223.675907020634,0,416.367072545629,51.9323423607846,398.697264713382,16.002215732064
"int_blue",150.3735851692,23.0759492614303,3.72419534783933,234.994443222295,4.11635194429016,24.9141124210035,43.862303986289,192.691165524995,416.367072545629,0,364.434730184845,17.6698078322479,400.364856813565
"int_green",514.808315354044,387.510679446275,368.158925532684,599.42917340714,368.551082129135,339.520617763841,408.297034171134,171.74356465985,51.9323423607846,364.434730184845,0,346.764922352597,35.9301266287206
"int_red",168.043393001448,40.7457570936782,21.3940031800872,252.664251054543,21.7861597765381,7.2443045887556,61.5321118185369,175.021357692747,398.697264713382,17.6698078322479,346.764922352597,0,382.695048981318
"int_white",550.738441982765,423.440806074996,404.089052161405,635.359300035861,404.481208757856,375.450744392562,444.227160799854,207.67369128857,16.002215732064,400.364856813565,35.9301266287206,382.695048981318,0
