"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_conf_blue_5x5.mnt",-0.3818405312,2.96623859343563,-3.34807912463563,-0.128728866263497,-112.87288662635,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.34807912463563,112.87288662635,"conf","blue","conf_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_conf_green_5x5.mnt",-0.08251936177,2.96623859343563,-3.04875795520563,-0.027819529404215,-102.781952940422,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.04875795520563,102.781952940422,"conf","green","conf_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_conf_red_5x5.mnt",0.09081966609,2.96623859343563,-2.87541892734563,0.030617788565959,-96.9382211434041,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,2.87541892734563,96.9382211434041,"conf","red","conf_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_fusion_blue_5x5.mnt",-0.3613584496,2.96623859343563,-3.32759704303563,-0.12182379745166,-112.182379745166,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.32759704303563,112.182379745166,"fusion","blue","fusion_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_fusion_green_5x5.mnt",-0.1600786176,2.96623859343563,-3.12631721103563,-0.0539668716988102,-105.396687169881,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.12631721103563,105.396687169881,"fusion","green","fusion_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_fusion_red_5x5.mnt",-0.07669145211,2.96623859343563,-3.04293004554563,-0.0258547819719291,-102.585478197193,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.04293004554563,102.585478197193,"fusion","red","fusion_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_FV_blue_5x5.mnt",-0.8771394932,2.96623859343563,-3.84337808663563,-0.295707666652687,-129.570766665269,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.84337808663563,129.570766665269,"FV","blue","FV_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_FV_green_5x5.mnt",0.0503097092,2.96623859343563,-2.91592888423563,0.0169607762879684,-98.3039223712032,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,2.91592888423563,98.3039223712032,"FV","green","FV_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_FV_red_5x5.mnt",0.3089699756,2.96623859343563,-2.65726861783563,0.104162212805052,-89.5837787194948,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,2.65726861783563,89.5837787194948,"FV","red","FV_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_blue_5x5.mnt",-0.003321220847,2.96623859343563,-2.96955981428263,-0.00111967420771544,-100.111967420772,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,2.96955981428263,100.111967420772,"int","blue","int_blue"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_green_5x5.mnt",-0.06329463536,2.96623859343563,-3.02953322879563,-0.0213383493492643,-102.133834934926,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.02953322879563,102.133834934926,"int","green","int_green"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_red_5x5.mnt",-0.08748073132,2.96623859343563,-3.05371932475563,-0.0294921425112589,-102.949214251126,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,3.05371932475563,102.949214251126,"int","red","int_red"
"P3_Al7075\Al_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_MF_x10_int_white_5x5.mnt",0.09838723409,2.96623859343563,-2.86785135934563,0.0331690223125455,-96.6830977687455,"Al7075_MF.xlsx","Al7075_MF.xlsx",20,1.0329796671626,0.230981275515069,2.86785135934563,96.6830977687455,"int","white","int_white"
