"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_conf_blue_5x5.mnt",-0.04789801573,0.707507856693705,-0.755405872423705,-0.0676996237947589,-106.769962379476,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.755405872423705,106.769962379476,"conf","blue","conf_blue"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_conf_green_5x5.mnt",-0.04091615056,0.707507856693705,-0.748424007253705,-0.0578313727160679,-105.783137271607,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.748424007253705,105.783137271607,"conf","green","conf_green"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_conf_red_5x5.mnt",-0.04359333214,0.707507856693705,-0.751101188833705,-0.0616153329289069,-106.161533292891,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.751101188833705,106.161533292891,"conf","red","conf_red"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_fusion_blue_5x5.mnt",-0.09028564015,0.707507856693705,-0.797793496843705,-0.127610795125186,-112.761079512519,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.797793496843705,112.761079512519,"fusion","blue","fusion_blue"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_fusion_green_5x5.mnt",-0.1083750778,0.707507856693705,-0.815882934493705,-0.15317862095052,-115.317862095052,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.815882934493705,115.317862095052,"fusion","green","fusion_green"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_fusion_red_5x5.mnt",-0.1309464449,0.707507856693705,-0.838454301593705,-0.185081259043445,-118.508125904344,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.838454301593705,118.508125904344,"fusion","red","fusion_red"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_FV_blue_5x5.mnt",-0.3640596559,0.707507856693705,-1.07156751259371,-0.514566237612269,-151.456623761227,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,1.07156751259371,151.456623761227,"FV","blue","FV_blue"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_FV_green_5x5.mnt",-0.1226578672,0.707507856693705,-0.830165723893705,-0.173366084969288,-117.336608496929,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.830165723893705,117.336608496929,"FV","green","FV_green"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_FV_red_5x5.mnt",-0.05734915946,0.707507856693705,-0.764857016153705,-0.0810579824908257,-108.105798249083,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.764857016153705,108.105798249083,"FV","red","FV_red"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_int_blue_5x5.mnt",-0.1031313587,0.707507856693705,-0.810639215393705,-0.145767086152158,-114.576708615216,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.810639215393705,114.576708615216,"int","blue","int_blue"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_int_green_5x5.mnt",-0.07955045622,0.707507856693705,-0.787058312913705,-0.112437558773908,-111.243755877391,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.787058312913705,111.243755877391,"int","green","int_green"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_int_red_5x5.mnt",0.01239710657,0.707507856693705,-0.695110750123705,0.0175222175311715,-98.2477782468828,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.695110750123705,98.2477782468828,"int","red","int_red"
"P3_Al7075\Al_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TF_x10_int_white_5x5.mnt",-0.09143412153,0.707507856693705,-0.798941978223705,-0.129234072335657,-112.923407233566,"Al7075_TF.xlsx","Al7075_TF.xlsx",20,1.26947776087457,0.283863856923976,0.798941978223705,112.923407233566,"int","white","int_white"
