"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_blue_5x5.mnt",0.1025196682,0.128123558429601,-0.025603890229601,0.800162510755824,-19.9837489244176,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.025603890229601,19.9837489244176,"conf","blue","conf_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_green_5x5.mnt",0.08718846904,0.128123558429601,-0.040935089389601,0.680503024647936,-31.9496975352064,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.040935089389601,31.9496975352064,"conf","green","conf_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_conf_red_5x5.mnt",0.0656210525,0.128123558429601,-0.062502505929601,0.512170074764636,-48.7829925235364,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.062502505929601,48.7829925235364,"conf","red","conf_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_blue_5x5.mnt",0.1139539669,0.128123558429601,-0.014169591529601,0.889406821795489,-11.0593178204511,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.014169591529601,11.0593178204511,"fusion","blue","fusion_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_green_5x5.mnt",0.06994963581,0.128123558429601,-0.058173922619601,0.545954519741462,-45.4045480258538,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.058173922619601,45.4045480258538,"fusion","green","fusion_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_fusion_red_5x5.mnt",0.04109129639,0.128123558429601,-0.087032262039601,0.320716165657997,-67.9283834342003,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.087032262039601,67.9283834342003,"fusion","red","fusion_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_blue_5x5.mnt",0.07534718952,0.128123558429601,-0.052776368909601,0.588082242200605,-41.1917757799395,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.052776368909601,41.1917757799395,"FV","blue","FV_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_green_5x5.mnt",0.1766832713,0.128123558429601,0.048559712870399,1.37900690135047,37.900690135047,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.048559712870399,37.900690135047,"FV","green","FV_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_FV_red_5x5.mnt",0.1437651461,0.128123558429601,0.015641587670399,1.12208205783633,12.208205783633,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.015641587670399,12.208205783633,"FV","red","FV_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_blue_5x5.mnt",0.06124460197,0.128123558429601,-0.066878956459601,0.478012027769675,-52.1987972230325,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.066878956459601,52.1987972230325,"int","blue","int_blue"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_green_5x5.mnt",0.1175875065,0.128123558429601,-0.010536051929601,0.917766474341328,-8.22335256586723,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.010536051929601,8.22335256586723,"int","green","int_green"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_red_5x5.mnt",0.09186276957,0.128123558429601,-0.036260788859601,0.716985780725682,-28.3014219274318,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.036260788859601,28.3014219274318,"int","red","int_red"
"P3_Al7075\Al_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_TR_x10_int_white_5x5.mnt",0.1099797977,0.128123558429601,-0.018143760729601,0.858388566849162,-14.1611433150838,"Al7075_TR.xlsx","Al7075_TR.xlsx",20,0.0060415357180441,0.00135092845540396,0.018143760729601,14.1611433150838,"int","white","int_white"
