"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_conf_blue_5x5.mnt",-0.4414993345,-1.36428436089213,0.922785026392132,0.323612398672733,-67.6387601327267,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.922785026392132,67.6387601327267,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_conf_green_5x5.mnt",-0.612737216,-1.36428436089213,0.751547144892132,0.449127200724722,-55.0872799275278,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.751547144892132,55.0872799275278,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_conf_red_5x5.mnt",-0.6395722639,-1.36428436089213,0.724712096992132,0.468796888855173,-53.1203111144827,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.724712096992132,53.1203111144827,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_fusion_blue_5x5.mnt",-0.2636226622,-1.36428436089213,1.10066169869213,0.193231462411262,-80.6768537588738,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,1.10066169869213,80.6768537588738,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_fusion_green_5x5.mnt",-0.5855297899,-1.36428436089213,0.778754570992132,0.429184564951775,-57.0815435048225,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.778754570992132,57.0815435048225,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_fusion_red_5x5.mnt",-0.6329046364,-1.36428436089213,0.731379724492132,0.463909617776555,-53.6090382223445,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.731379724492132,53.6090382223445,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_FV_blue_5x5.mnt",0.04271916399,-1.36428436089213,1.40700352488213,-0.0313125072855523,-103.131250728555,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,1.40700352488213,103.131250728555,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_FV_green_5x5.mnt",0.1133299017,-1.36428436089213,1.47761426259213,-0.0830691203012042,-108.30691203012,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,1.47761426259213,108.30691203012,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_FV_red_5x5.mnt",0.4167489294,-1.36428436089213,1.78103329029213,-0.305470722487414,-130.547072248741,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,1.78103329029213,130.547072248741,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_int_blue_5x5.mnt",-0.8000002759,-1.36428436089213,0.564284084992132,0.586388218491975,-41.3611781508025,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.564284084992132,41.3611781508025,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_int_green_5x5.mnt",-1.2550032,-1.36428436089213,0.109281160892132,0.919898546062149,-8.01014539378513,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.109281160892132,8.01014539378513,"int","green","int_green"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_int_red_5x5.mnt",-0.7878918187,-1.36428436089213,0.576392542192132,0.577512900745107,-42.2487099254893,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.576392542192132,42.2487099254893,"int","red","int_red"
"C45_5x5\C45_5x5\C45_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GRI_x10_int_white_5x5.mnt",-1.322955342,-1.36428436089213,0.041329018892132,0.969706448247266,-3.02935517527344,"C45_GRI.xlsx","C45_GRI.xlsx",20,0.139287039506173,0.0311455288720501,0.041329018892132,3.02935517527344,"int","white","int_white"
