"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_conf_green_5x5.mnt",-0.5556494874,-0.846507909043655,0.290858421643655,0.656402003411577,-34.3597996588423,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.290858421643655,34.3597996588423,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_conf_red_5x5.mnt",-0.5751282809,-0.846507909043655,0.271379628143655,0.679412767152705,-32.0587232847295,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.271379628143655,32.0587232847295,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_blue_5x5.mnt",-0.2286466849,-0.846507909043655,0.617861224143655,0.270105786912628,-72.9894213087371,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.617861224143655,72.9894213087371,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_green_5x5.mnt",-0.5948314422,-0.846507909043655,0.251676466843655,0.702688581931872,-29.7311418068128,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.251676466843655,29.7311418068128,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_fusion_red_5x5.mnt",-0.6605077673,-0.846507909043655,0.186000141743655,0.780273592536437,-21.9726407463563,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.186000141743655,21.9726407463563,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_blue_5x5.mnt",-0.1571942619,-0.846507909043655,0.689313647143655,0.185697333977175,-81.4302666022825,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.689313647143655,81.4302666022825,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_green_5x5.mnt",0.02542559145,-0.846507909043655,0.871933500493655,-0.0300358581158735,-103.003585811587,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.871933500493655,103.003585811587,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_FV_red_5x5.mnt",0.3170422944,-0.846507909043655,1.16355020344365,-0.374529630512466,-137.452963051247,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,1.16355020344365,137.452963051247,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_blue_5x5.mnt",-0.3496275736,-0.846507909043655,0.496880335443655,0.413023398676798,-58.6976601323202,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.496880335443655,58.6976601323202,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_green_5x5.mnt",-0.2094872639,-0.846507909043655,0.637020645143655,0.247472305529512,-75.2527694470488,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.637020645143655,75.2527694470488,"int","green","int_green"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_red_5x5.mnt",-0.15398047,-0.846507909043655,0.692527439043655,0.181900804889065,-81.8099195110935,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.692527439043655,81.8099195110935,"int","red","int_red"
"C45_5x5\C45_5x5\C45_MF\C45_5x5 --- C45_MF_x10_int_white_5x5.mnt",-0.2985919112,-0.846507909043655,0.547915997843655,0.352733752407978,-64.7266247592022,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,0.547915997843655,64.7266247592022,"int","white","int_white"
NA,NA,-0.846507909043655,NA,NA,NA,"C45_MF.xlsx","C45_MF.xlsx",20,0.0898980126985141,0.0201018067436017,NA,NA,"other","unknown","other_unknown"
