"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,70.3853667920083,161.648356399406,215.319197366792,269.77931597504,179.767703525702,56.7757971932064,402.079709854247,102.701536022144,149.378138441663,259.688957127105,226.439962050131
"conf_red",70.3853667920083,0,232.033723191414,144.933830574784,199.393949183032,250.153070317711,127.161163985215,472.465076646255,173.086902814152,78.9927716496548,189.303590335096,156.054595258123
"fusion_blue",161.648356399406,232.033723191414,0,376.967553766197,431.427672374446,18.1193471262966,104.872559206199,240.431353454841,58.9468203772619,311.026494841069,421.33731352651,388.088318449537
"fusion_green",215.319197366792,144.933830574784,376.967553766197,0,54.4601186082485,395.086900892494,272.094994559998,617.398907221039,318.020733388935,65.9410589251288,44.3697597603128,11.1207646833396
"fusion_red",269.77931597504,199.393949183032,431.427672374446,54.4601186082485,0,449.547019500743,326.555113168247,671.859025829287,372.480851997184,120.401177533377,10.0903588479358,43.3393539249089
"FV_blue",179.767703525702,250.153070317711,18.1193471262966,395.086900892494,449.547019500743,0,122.991906332496,222.312006328545,77.0661675035586,329.145841967365,439.456660652807,406.207665575834
"FV_green",56.7757971932064,127.161163985215,104.872559206199,272.094994559998,326.555113168247,122.991906332496,0,345.303912661041,45.9257388289372,206.153935634869,316.464754320311,283.215759243338
"FV_red",402.079709854247,472.465076646255,240.431353454841,617.398907221039,671.859025829287,222.312006328545,345.303912661041,0,299.378173832103,551.45784829591,661.768666981352,628.519671904378
"int_blue",102.701536022144,173.086902814152,58.9468203772619,318.020733388935,372.480851997184,77.0661675035586,45.9257388289372,299.378173832103,0,252.079674463807,362.390493149248,329.141498072275
"int_green",149.378138441663,78.9927716496548,311.026494841069,65.9410589251288,120.401177533377,329.145841967365,206.153935634869,551.45784829591,252.079674463807,0,110.310818685442,77.0618236084684
"int_red",259.688957127105,189.303590335096,421.33731352651,44.3697597603128,10.0903588479358,439.456660652807,316.464754320311,661.768666981352,362.390493149248,110.310818685442,0,33.2489950769732
"int_white",226.439962050131,156.054595258123,388.088318449537,11.1207646833396,43.3393539249089,406.207665575834,283.215759243338,628.519671904378,329.141498072275,77.0618236084684,33.2489950769732,0
