"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_conf_blue_5x5.mnt",-1.919312108,-3.2475076135727,1.3281955055727,0.591010810868738,-40.8989189131262,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,1.3281955055727,40.8989189131262,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_conf_green_5x5.mnt",-2.096604493,-3.2475076135727,1.15090312057269,0.645604180953237,-35.4395819046763,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,1.15090312057269,35.4395819046763,"conf","green","conf_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_conf_red_5x5.mnt",-1.716695494,-3.2475076135727,1.53081211957269,0.528619390090176,-47.1380609909824,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,1.53081211957269,47.1380609909824,"conf","red","conf_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_fusion_blue_5x5.mnt",-0.7729634934,-3.2475076135727,2.47454412017269,0.238017453806563,-76.1982546193437,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,2.47454412017269,76.1982546193437,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_fusion_green_5x5.mnt",-1.466675236,-3.2475076135727,1.7808323775727,0.45163103848322,-54.836896151678,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,1.7808323775727,54.836896151678,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_fusion_red_5x5.mnt",-2.321956637,-3.2475076135727,0.925550976572695,0.714996518343966,-28.5003481656034,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,0.925550976572695,28.5003481656034,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_FV_blue_5x5.mnt",-1.94143101,-3.2475076135727,1.30607660357269,0.597821850173945,-40.2178149826055,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,1.30607660357269,40.2178149826055,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_FV_green_5x5.mnt",-2.190944991,-3.2475076135727,1.0565626225727,0.674654304686807,-32.5345695313193,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,1.0565626225727,32.5345695313193,"FV","green","FV_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_FV_red_5x5.mnt",-1.190582148,-3.2475076135727,2.05692546557269,0.366614120633331,-63.3385879366669,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,2.05692546557269,63.3385879366669,"FV","red","FV_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_blue_5x5.mnt",-0.04309361029,-3.2475076135727,3.20441400328269,0.013269748809793,-98.6730251190207,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,3.20441400328269,98.6730251190207,"int","blue","int_blue"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_green_5x5.mnt",-4.085705512,-3.2475076135727,-0.838197898427305,1.25810498331832,25.8104983318322,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,0.838197898427305,25.8104983318322,"int","green","int_green"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_red_5x5.mnt",-3.439575497,-3.2475076135727,-0.192067883427305,1.05914316647775,5.91431664777544,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,0.192067883427305,5.91431664777544,"int","red","int_red"
"P3_ELLOR\ELLOR_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_MF_x10_int_white_5x5.mnt",-4.042539136,-3.2475076135727,-0.795031522427305,1.24481282787592,24.4812827875918,"ELLOR_MF.xlsx","ELLOR_MF.xlsx",20,0.415432727221172,0.0928935818144667,0.795031522427305,24.4812827875918,"int","white","int_white"
