"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_conf_blue_5x5.mnt",-0.8847934686,-1.82543185003403,0.940638381434027,0.484703643460317,-51.5296356539683,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.940638381434027,51.5296356539683,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_conf_green_5x5.mnt",-0.8942873515,-1.82543185003403,0.931144498534027,0.489904540387706,-51.0095459612294,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.931144498534027,51.0095459612294,"conf","green","conf_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_conf_red_5x5.mnt",-0.7545202484,-1.82543185003403,1.07091160163403,0.413337944325851,-58.6662055674149,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,1.07091160163403,58.6662055674149,"conf","red","conf_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_fusion_blue_5x5.mnt",-0.3661941526,-1.82543185003403,1.45923769743403,0.200606860559146,-79.9393139440854,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,1.45923769743403,79.9393139440854,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_fusion_green_5x5.mnt",-0.5619709375,-1.82543185003403,1.26346091253403,0.307856432706334,-69.2143567293666,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,1.26346091253403,69.2143567293666,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_fusion_red_5x5.mnt",-0.5062416982,-1.82543185003403,1.31919015183403,0.277327087390616,-72.2672912609384,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,1.31919015183403,72.2672912609384,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_FV_blue_5x5.mnt",-0.8736095355,-1.82543185003403,0.951822314534027,0.478576910709493,-52.1423089290507,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.951822314534027,52.1423089290507,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_FV_green_5x5.mnt",-0.8606971697,-1.82543185003403,0.964734680334027,0.471503315603897,-52.8496684396103,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.964734680334027,52.8496684396103,"FV","green","FV_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_FV_red_5x5.mnt",-0.7053062685,-1.82543185003403,1.12012558153403,0.386377759589794,-61.3622240410206,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,1.12012558153403,61.3622240410206,"FV","red","FV_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_blue_5x5.mnt",0.1867082776,-1.82543185003403,2.01214012763403,-0.102281702599042,-110.228170259904,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,2.01214012763403,110.228170259904,"int","blue","int_blue"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_green_5x5.mnt",-1.467397404,-1.82543185003403,0.358034446034027,0.803863153791606,-19.6136846208394,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.358034446034027,19.6136846208394,"int","green","int_green"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_red_5x5.mnt",-1.389384435,-1.82543185003403,0.436047415034027,0.761126434259433,-23.8873565740567,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.436047415034027,23.8873565740567,"int","red","int_red"
"P3_ELLOR\ELLOR_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_TF_x10_int_white_5x5.mnt",-1.472692964,-1.82543185003403,0.352738886034027,0.806764144042161,-19.3235855957839,"ELLOR_TF.xlsx","ELLOR_TF.xlsx",20,0.293987869658839,0.0657376861117511,0.352738886034027,19.3235855957839,"int","white","int_white"
