"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_blue_5x5.mnt",-1.78329737,-2.6469267887533,0.863629418753296,0.673723722763006,-32.6276277236994,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.863629418753296,32.6276277236994,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_green_5x5.mnt",-1.710949502,-2.6469267887533,0.935977286753296,0.646390942609281,-35.3609057390719,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.935977286753296,35.3609057390719,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_conf_red_5x5.mnt",-1.531209871,-2.6469267887533,1.1157169177533,0.578485917142121,-42.1514082857879,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,1.1157169177533,42.1514082857879,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_blue_5x5.mnt",-1.326522008,-2.6469267887533,1.3204047807533,0.501155533895515,-49.8844466104485,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,1.3204047807533,49.8844466104485,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_green_5x5.mnt",-1.45963668,-2.6469267887533,1.1872901087533,0.551445807342291,-44.8554192657709,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,1.1872901087533,44.8554192657709,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_fusion_red_5x5.mnt",-1.280569448,-2.6469267887533,1.3663573407533,0.483794811946102,-51.6205188053898,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,1.3663573407533,51.6205188053898,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_blue_5x5.mnt",-1.706437705,-2.6469267887533,0.940489083753296,0.644686400942632,-35.5313599057368,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.940489083753296,35.5313599057368,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_green_5x5.mnt",-1.793120959,-2.6469267887533,0.853805829753296,0.677435041505081,-32.2564958494919,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.853805829753296,32.2564958494919,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_FV_red_5x5.mnt",-1.684520764,-2.6469267887533,0.962406024753296,0.636406254663889,-36.3593745336111,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.962406024753296,36.3593745336111,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_green_5x5.mnt",-2.136429729,-2.6469267887533,0.510497059753296,0.807135935182499,-19.2864064817501,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.510497059753296,19.2864064817501,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_red_5x5.mnt",-2.178695345,-2.6469267887533,0.468231443753296,0.823103742142474,-17.6896257857526,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.468231443753296,17.6896257857526,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_F_x10_int_white_5x5.mnt",-2.190022978,-2.6469267887533,0.456903810753296,0.827383283627388,-17.2616716372612,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,0.456903810753296,17.2616716372612,"int","white","int_white"
NA,NA,-2.6469267887533,NA,NA,NA,"ELLOR_WEDM_F.xlsx","ELLOR_WEDM_F.xlsx",20,0.638508464582201,0.142774833101482,NA,NA,"other","unknown","other_unknown"
