"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_blue_5x5.mnt",-1.581028668,-2.72062211404189,1.13959344604189,0.581127625126573,-41.8872374873427,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.13959344604189,41.8872374873427,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_green_5x5.mnt",-1.562635415,-2.72062211404189,1.15798669904189,0.574366946050612,-42.5633053949388,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.15798669904189,42.5633053949388,"conf","green","conf_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_conf_red_5x5.mnt",-1.413765937,-2.72062211404189,1.30685617704189,0.519648035536858,-48.0351964463142,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.30685617704189,48.0351964463142,"conf","red","conf_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_blue_5x5.mnt",-1.285384004,-2.72062211404189,1.43523811004189,0.472459588329366,-52.7540411670634,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.43523811004189,52.7540411670634,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_green_5x5.mnt",-1.369404775,-2.72062211404189,1.35121733904189,0.503342514174284,-49.6657485825716,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.35121733904189,49.6657485825716,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_fusion_red_5x5.mnt",-1.21987414,-2.72062211404189,1.50074797404189,0.448380586816482,-55.1619413183518,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.50074797404189,55.1619413183518,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_blue_5x5.mnt",-1.485675844,-2.72062211404189,1.23494627004189,0.546079455993544,-45.3920544006456,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.23494627004189,45.3920544006456,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_green_5x5.mnt",-1.666724933,-2.72062211404189,1.05389718104189,0.612626400556538,-38.7373599443462,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.05389718104189,38.7373599443462,"FV","green","FV_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_FV_red_5x5.mnt",-1.603139505,-2.72062211404189,1.11748260904189,0.589254750494657,-41.0745249505343,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,1.11748260904189,41.0745249505343,"FV","red","FV_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_blue_5x5.mnt",-0.08644354769,-2.72062211404189,2.63417856635189,0.0317734488901788,-96.8226551109821,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,2.63417856635189,96.8226551109821,"int","blue","int_blue"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_green_5x5.mnt",-1.845763704,-2.72062211404189,0.874858410041888,0.678434426623786,-32.1565573376214,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,0.874858410041888,32.1565573376214,"int","green","int_green"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_red_5x5.mnt",-1.970863512,-2.72062211404189,0.749758602041888,0.724416486151393,-27.5583513848607,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,0.749758602041888,27.5583513848607,"int","red","int_red"
"P3_ELLOR\ELLOR_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_WEDM_R_x10_int_white_5x5.mnt",-1.938846604,-2.72062211404189,0.781775510041888,0.712648255703382,-28.7351744296618,"ELLOR_WEDM_R.xlsx","ELLOR_WEDM_R.xlsx",20,0.701446837650885,0.156848281158964,0.781775510041888,28.7351744296618,"int","white","int_white"
