"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_blue_5x5.mnt",-0.4173833719,-1.14971934855154,0.732335976651537,0.363030658243541,-63.6969341756459,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.732335976651537,63.6969341756459,"conf","blue","conf_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_green_5x5.mnt",-0.6765884304,-1.14971934855154,0.473130918151537,0.588481381349626,-41.1518618650374,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.473130918151537,41.1518618650374,"conf","green","conf_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_conf_red_5x5.mnt",-0.6576314397,-1.14971934855154,0.492087908851537,0.571993017712115,-42.8006982287885,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.492087908851537,42.8006982287885,"conf","red","conf_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_blue_5x5.mnt",-0.3760296949,-1.14971934855154,0.773689653651537,0.327062161190674,-67.2937838809326,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.773689653651537,67.2937838809326,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_green_5x5.mnt",-0.7414062534,-1.14971934855154,0.408313095151537,0.64485846422786,-35.514153577214,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.408313095151537,35.514153577214,"fusion","green","fusion_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_fusion_red_5x5.mnt",-0.8594612081,-1.14971934855154,0.290258140451537,0.747540005465494,-25.2459994534506,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.290258140451537,25.2459994534506,"fusion","red","fusion_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_blue_5x5.mnt",-0.7349996759,-1.14971934855154,0.414719672651537,0.639286167381616,-36.0713832618384,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.414719672651537,36.0713832618384,"FV","blue","FV_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_blue_5x5_mocniejsze_swiatlo.mnt",-0.9081918496,-1.14971934855154,0.241527498951537,0.789924820126039,-21.0075179873961,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,0.241527498951537,21.0075179873961,"FV","blue","FV_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_green_5x5.mnt",-0.1027170686,-1.14971934855154,1.04700227995154,0.0893409932862373,-91.0659006713763,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,1.04700227995154,91.0659006713763,"FV","green","FV_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_FV_red_5x5.mnt",0.09094642757,-1.14971934855154,1.24066577612154,-0.079103154769534,-107.910315476953,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,1.24066577612154,107.910315476953,"FV","red","FV_red"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_blue_5x5.mnt",0.03067890997,-1.14971934855154,1.18039825852154,-0.0266838250644825,-102.668382506448,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,1.18039825852154,102.668382506448,"int","blue","int_blue"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_green_5x5.mnt",-0.03201652292,-1.14971934855154,1.11770282563154,0.0278472506880359,-97.2152749311964,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,1.11770282563154,97.2152749311964,"int","green","int_green"
"P3_MO58A\Mo_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_B_x10_int_red_5x5.mnt",-0.01787859294,-1.14971934855154,1.13184075561154,0.0155503975492142,-98.4449602450786,"MO58A_B.xlsx","MO58A_B.xlsx",20,2.11232857071968,0.472331027494418,1.13184075561154,98.4449602450786,"int","red","int_red"
