"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_blue_5x5.mnt",-0.2851391519,0.0838076896239457,-0.368946841523946,-3.4023029769637,-440.23029769637,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.368946841523946,440.23029769637,"conf","blue","conf_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_green_5x5.mnt",-0.5461865109,0.0838076896239457,-0.629994200523946,-6.5171407701465,-751.71407701465,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.629994200523946,751.71407701465,"conf","green","conf_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_conf_red_5x5.mnt",-0.6218417453,0.0838076896239457,-0.705649434923946,-7.41986502778292,-841.986502778292,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.705649434923946,841.986502778292,"conf","red","conf_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_blue_5x5.mnt",0.3802428377,0.0838076896239457,0.296435148076054,4.5370876993053,353.70876993053,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.296435148076054,353.70876993053,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_green_5x5.mnt",-0.5964938507,0.0838076896239457,-0.680301540323946,-7.11741193888691,-811.741193888691,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.680301540323946,811.741193888691,"fusion","green","fusion_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_fusion_red_5x5.mnt",-0.6838191747,0.0838076896239457,-0.767626864323946,-8.15938463127157,-915.938463127157,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.767626864323946,915.938463127157,"fusion","red","fusion_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_blue_5x5.mnt",0.2445590223,0.0838076896239457,0.160751332676054,2.91809765186659,191.809765186659,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.160751332676054,191.809765186659,"FV","blue","FV_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_green_5x5.mnt",0.4590486738,0.0838076896239457,0.375240984176054,5.47740518632362,447.740518632362,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.375240984176054,447.740518632362,"FV","green","FV_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_FV_red_5x5.mnt",0.5030620515,0.0838076896239457,0.419254361876054,6.0025763000662,500.25763000662,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.419254361876054,500.25763000662,"FV","red","FV_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_blue_5x5.mnt",-0.2344760421,0.0838076896239457,-0.318283731723946,-2.79778673236453,-379.778673236453,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.318283731723946,379.778673236453,"int","blue","int_blue"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_green_5x5.mnt",-0.1592557771,0.0838076896239457,-0.243063466723946,-1.90025256410955,-290.025256410955,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.243063466723946,290.025256410955,"int","green","int_green"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_red_5x5.mnt",-0.2196637522,0.0838076896239457,-0.303471441823946,-2.62104531440558,-362.104531440558,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.303471441823946,362.104531440558,"int","red","int_red"
"P3_MO58A\Mo_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_HON_x10_int_white_5x5.mnt",-0.1639983026,0.0838076896239457,-0.247805992223946,-1.95684075454029,-295.684075454029,"MO58A_HON.xlsx","MO58A_HON.xlsx",20,0.200781722716743,0.044896158063415,0.247805992223946,295.684075454029,"int","white","int_white"
