"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,311.48377931828,401.756205081922,86.5215277658402,371.510896192322,475.708165430787,248.420532509711,7.51022093599181,60.0273323102498,60.4516244599164,150.205041285415,78.1257662558118,144.546222242341
"conf_green",311.48377931828,0,90.2724257636422,398.00530708412,60.0271168740418,164.224386112507,559.904311827991,303.973558382288,251.45644700803,371.935403778196,461.688820603695,389.609545574092,456.030001560621
"conf_red",401.756205081922,90.2724257636422,0,488.277732847762,30.2453088896004,73.9519603488646,650.176737591633,394.24598414593,341.728872771672,462.207829541839,551.961246367337,479.881971337734,546.302427324263
"fusion_blue",86.5215277658402,398.00530708412,488.277732847762,0,458.032423958162,562.229693196627,161.89900474387,94.031748701832,146.54886007609,26.0699033059238,63.6835135195747,8.39576151002848,58.0246944765009
"fusion_green",371.510896192322,60.0271168740418,30.2453088896004,458.032423958162,0,104.197269238465,619.931428702032,364.00067525633,311.483563882072,431.962520652238,521.715937477737,449.636662448133,516.057118434663
"fusion_red",475.708165430787,164.224386112507,73.9519603488646,562.229693196627,104.197269238465,0,724.128697940497,468.197944494795,415.680833120537,536.159789890703,625.913206716202,553.833931686599,620.254387673128
"FV_blue",248.420532509711,559.904311827991,650.176737591633,161.89900474387,619.931428702032,724.128697940497,0,255.930753445702,308.447864819961,187.968908049794,98.2154912242957,170.294766253899,103.87431026737
"FV_green",7.51022093599181,303.973558382288,394.24598414593,94.031748701832,364.00067525633,468.197944494795,255.930753445702,0,52.517111374258,67.9618453959083,157.715262221407,85.6359871918036,152.056443178333
"FV_red",60.0273323102498,251.45644700803,341.728872771672,146.54886007609,311.483563882072,415.680833120537,308.447864819961,52.517111374258,0,120.478956770166,210.232373595665,138.153098566062,204.573554552591
"int_blue",60.4516244599164,371.935403778196,462.207829541839,26.0699033059238,431.962520652238,536.159789890703,187.968908049794,67.9618453959083,120.478956770166,0,89.7534168254984,17.6741417958953,84.0945977824247
"int_green",150.205041285415,461.688820603695,551.961246367337,63.6835135195747,521.715937477737,625.913206716202,98.2154912242957,157.715262221407,210.232373595665,89.7534168254984,0,72.0792750296031,5.65881904307378
"int_red",78.1257662558118,389.609545574092,479.881971337734,8.39576151002848,449.636662448133,553.833931686599,170.294766253899,85.6359871918036,138.153098566062,17.6741417958953,72.0792750296031,0,66.4204559865294
"int_white",144.546222242341,456.030001560621,546.302427324263,58.0246944765009,516.057118434663,620.254387673128,103.87431026737,152.056443178333,204.573554552591,84.0945977824247,5.65881904307378,66.4204559865294,0
