"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_blue_5x5.mnt",0.2335382246,0.680909250259793,-0.447371025659793,0.342979955861807,-65.7020044138193,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.447371025659793,65.7020044138193,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_green_5x5.mnt",-0.3203357274,0.680909250259793,-1.00124497765979,-0.47045289409386,-147.045289409386,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,1.00124497765979,147.045289409386,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_red_5x5.mnt",-0.4985770173,0.680909250259793,-1.17948626755979,-0.732222417465725,-173.222241746572,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,1.17948626755979,173.222241746572,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_blue_5x5.mnt",0.555643344,0.680909250259793,-0.125265906259793,0.81603142237824,-18.396857762176,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.125265906259793,18.396857762176,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_green_5x5.mnt",-0.1440301596,0.680909250259793,-0.824939409859793,-0.211526219602755,-121.152621960275,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.824939409859793,121.152621960275,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_red_5x5.mnt",-0.4503213124,0.680909250259793,-1.13123056265979,-0.661352907495654,-166.135290749565,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,1.13123056265979,166.135290749565,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_blue_5x5.mnt",0.2231022143,0.680909250259793,-0.457807035959793,0.327653375563451,-67.2346624436549,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.457807035959793,67.2346624436549,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_green_5x5.mnt",0.2582202213,0.680909250259793,-0.422689028959793,0.37922854066306,-62.077145933694,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.422689028959793,62.077145933694,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_red_5x5.mnt",0.3620409585,0.680909250259793,-0.318868291759793,0.531702217823987,-46.8297782176014,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.318868291759793,46.8297782176014,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_blue_5x5.mnt",-0.04978579476,0.680909250259793,-0.730695045019793,-0.0731166374094709,-107.311663740947,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.730695045019793,107.311663740947,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_green_5x5.mnt",-0.4209462802,0.680909250259793,-1.10185553045979,-0.618212015829411,-161.821201582941,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,1.10185553045979,161.821201582941,"int","green","int_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_red_5x5.mnt",-0.1846575287,0.680909250259793,-0.865566778959793,-0.271192568803473,-127.119256880347,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,0.865566778959793,127.119256880347,"int","red","int_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_white_5x5.mnt",-0.4308871938,0.680909250259793,-1.11179644405979,-0.632811484989519,-163.281148498952,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,0.202442146370179,0.0452674400794681,1.11179644405979,163.281148498952,"int","white","int_white"
