"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00278231468335832,0.00453693824032086,0.0030816567645644,0.000984053497191439,0.00087437133041135,0.025865005780318,0.0274901974818675,0.0285663712836879,0.0146850401182945,0.0254728260433268,0.0184172773722509,0.0260509084488518
"conf_green",0.00278231468335832,0,0.00175462355696254,0.00586397144792272,0.00376636818054976,0.00190794335294697,0.0230826910969597,0.0247078827985092,0.0257840566003296,0.0119027254349362,0.0226905113599685,0.0156349626888925,0.0232685937654935
"conf_red",0.00453693824032086,0.00175462355696254,0,0.00761859500488526,0.0055209917375123,0.00366256690990951,0.0213280675399972,0.0229532592415467,0.024029433043367,0.0101481018779737,0.0209358878030059,0.01388033913193,0.021513970208531
"fusion_blue",0.0030816567645644,0.00586397144792272,0.00761859500488526,0,0.00209760326737296,0.00395602809497575,0.0289466625448824,0.0305718542464319,0.0316480280482523,0.0177666968828589,0.0285544828078912,0.0214989341368153,0.0291325652134162
"fusion_green",0.000984053497191439,0.00376636818054976,0.0055209917375123,0.00209760326737296,0,0.00185842482760279,0.0268490592775095,0.028474250979059,0.0295504247808793,0.015669093615486,0.0264568795405182,0.0194013308694423,0.0270349619460433
"fusion_red",0.00087437133041135,0.00190794335294697,0.00366256690990951,0.00395602809497575,0.00185842482760279,0,0.0249906344499067,0.0266158261514562,0.0276919999532765,0.0138106687878832,0.0245984547129154,0.0175429060418395,0.0251765371184405
"FV_blue",0.025865005780318,0.0230826910969597,0.0213280675399972,0.0289466625448824,0.0268490592775095,0.0249906344499067,0,0.00162519170154951,0.00270136550336986,0.0111799656620235,0.000392179736991238,0.00744772840806718,0.000185902668533799
"FV_green",0.0274901974818675,0.0247078827985092,0.0229532592415467,0.0305718542464319,0.028474250979059,0.0266158261514562,0.00162519170154951,0,0.00107617380182035,0.012805157363573,0.00201737143854075,0.00907292010961669,0.00143928903301571
"FV_red",0.0285663712836879,0.0257840566003296,0.024029433043367,0.0316480280482523,0.0295504247808793,0.0276919999532765,0.00270136550336986,0.00107617380182035,0,0.0138813311653934,0.0030935452403611,0.010149093911437,0.00251546283483606
"int_blue",0.0146850401182945,0.0119027254349362,0.0101481018779737,0.0177666968828589,0.015669093615486,0.0138106687878832,0.0111799656620235,0.012805157363573,0.0138813311653934,0,0.0107877859250323,0.00373223725395633,0.0113658683305573
"int_green",0.0254728260433268,0.0226905113599685,0.0209358878030059,0.0285544828078912,0.0264568795405182,0.0245984547129154,0.000392179736991238,0.00201737143854075,0.0030935452403611,0.0107877859250323,0,0.00705554867107594,0.000578082405525038
"int_red",0.0184172773722509,0.0156349626888925,0.01388033913193,0.0214989341368153,0.0194013308694423,0.0175429060418395,0.00744772840806718,0.00907292010961669,0.010149093911437,0.00373223725395633,0.00705554867107594,0,0.00763363107660098
"int_white",0.0260509084488518,0.0232685937654935,0.021513970208531,0.0291325652134162,0.0270349619460433,0.0251765371184405,0.000185902668533799,0.00143928903301571,0.00251546283483606,0.0113658683305573,0.000578082405525038,0.00763363107660098,0
