"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.0219150039678055,0.0415479209565319,0.021281251298376,0.00170674820832062,0.0202150981869096,0.0256663507121857,0.038707202734841,0.0417996504900344,0.0198590136376851,0.280465528091696,0.00126530409336567,0.320907726869521
"conf_green",0.0219150039678055,0,0.0196329169887264,0.0431962552661815,0.0202082557594849,0.00169990578089596,0.00375134674438016,0.0167921987670354,0.0198846465222289,0.00205599033012049,0.258550524123891,0.0231803080611712,0.298992722901716
"conf_red",0.0415479209565319,0.0196329169887264,0,0.0628291722549079,0.0398411727482113,0.0213328227696223,0.0158815702443462,0.00284071822169096,0.000251729533502498,0.0216889073188469,0.238917607135164,0.0428132250498976,0.279359805912989
"fusion_blue",0.021281251298376,0.0431962552661815,0.0628291722549079,0,0.0229879995066966,0.0414963494852856,0.0469476020105617,0.059988454033217,0.0630809017884104,0.041140264936061,0.301746779390072,0.0200159472050103,0.342188978167897
"fusion_green",0.00170674820832062,0.0202082557594849,0.0398411727482113,0.0229879995066966,0,0.018508349978589,0.0239596025038651,0.0370004545265203,0.0400929022817138,0.0181522654293644,0.278758779883375,0.00297205230168629,0.3192009786612
"fusion_red",0.0202150981869096,0.00169990578089596,0.0213328227696223,0.0414963494852856,0.018508349978589,0,0.00545125252527612,0.0184921045479314,0.0215845523031248,0.000356084549224533,0.260250429904787,0.0214804022802753,0.300692628682611
"FV_blue",0.0256663507121857,0.00375134674438016,0.0158815702443462,0.0469476020105617,0.0239596025038651,0.00545125252527612,0,0.0130408520226553,0.0161332997778487,0.00580733707450065,0.25479917737951,0.0269316548055514,0.295241376157335
"FV_green",0.038707202734841,0.0167921987670354,0.00284071822169096,0.059988454033217,0.0370004545265203,0.0184921045479314,0.0130408520226553,0,0.00309244775519346,0.0188481890971559,0.241758325356855,0.0399725068282066,0.28220052413468
"FV_red",0.0417996504900344,0.0198846465222289,0.000251729533502498,0.0630809017884104,0.0400929022817138,0.0215845523031248,0.0161332997778487,0.00309244775519346,0,0.0219406368523494,0.238665877601662,0.0430649545834001,0.279108076379487
"int_blue",0.0198590136376851,0.00205599033012049,0.0216889073188469,0.041140264936061,0.0181522654293644,0.000356084549224533,0.00580733707450065,0.0188481890971559,0.0219406368523494,0,0.260606514454011,0.0211243177310507,0.301048713231836
"int_green",0.280465528091696,0.258550524123891,0.238917607135164,0.301746779390072,0.278758779883375,0.260250429904787,0.25479917737951,0.241758325356855,0.238665877601662,0.260606514454011,0,0.281730832185062,0.040442198777825
"int_red",0.00126530409336567,0.0231803080611712,0.0428132250498976,0.0200159472050103,0.00297205230168629,0.0214804022802753,0.0269316548055514,0.0399725068282066,0.0430649545834001,0.0211243177310507,0.281730832185062,0,0.322173030962887
"int_white",0.320907726869521,0.298992722901716,0.279359805912989,0.342188978167897,0.3192009786612,0.300692628682611,0.295241376157335,0.28220052413468,0.279108076379487,0.301048713231836,0.040442198777825,0.322173030962887,0
