"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_blue_5x5.mnt",0.1716476778,163.670760150184,-163.499112472384,0.00104873758539703,-99.8951262414603,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.499112472384,99.8951262414603,"conf","blue","conf_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_green_5x5.mnt",0.1834772611,163.670760150184,-163.487282889084,0.00112101429071168,-99.8878985709288,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.487282889084,99.8878985709288,"conf","green","conf_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_conf_red_5x5.mnt",0.1980374952,163.670760150184,-163.472722654984,0.00120997479951997,-99.879002520048,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.472722654984,99.879002520048,"conf","red","conf_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_blue_5x5.mnt",0.1304075117,163.670760150184,-163.540352638484,0.000796767312501868,-99.9203232687498,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.540352638484,99.9203232687498,"fusion","blue","fusion_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_green_5x5.mnt",0.1480614056,163.670760150184,-163.522698744584,0.000904629546927863,-99.9095370453072,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.522698744584,99.9095370453072,"fusion","green","fusion_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_fusion_red_5x5.mnt",0.1579338924,163.670760150184,-163.512826257784,0.000964948731557671,-99.9035051268442,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.512826257784,99.9035051268442,"fusion","red","fusion_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_blue_5x5.mnt",0.1527408066,163.670760150184,-163.518019343584,0.000933219876658758,-99.9066780123341,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.518019343584,99.9066780123341,"FV","blue","FV_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_green_5x5.mnt",0.178663968,163.670760150184,-163.492096182184,0.00109160590343723,-99.8908394096563,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.492096182184,99.8908394096563,"FV","green","FV_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_FV_red_5x5.mnt",0.1854063889,163.670760150184,-163.485353761284,0.00113280092748315,-99.8867199072517,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.485353761284,99.8867199072517,"FV","red","FV_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_blue_5x5.mnt",0.1341437461,163.670760150184,-163.536616404084,0.000819595057644443,-99.9180404942356,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.536616404084,99.9180404942356,"int","blue","int_blue"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_green_5x5.mnt",0.431206771,163.670760150184,-163.239553379184,0.00263459869438087,-99.7365401305619,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.239553379184,99.7365401305619,"int","green","int_green"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_red_5x5.mnt",0.1307379055,163.670760150184,-163.540022244684,0.000798785961402239,-99.9201214038598,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.540022244684,99.9201214038598,"int","red","int_red"
"P3_1_4301\AU_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TR_x10_int_white_5x5.mnt",0.4572018617,163.670760150184,-163.213558288484,0.00279342419672562,-99.7206575803274,"14301_TR.xlsx","14301_TR.xlsx",20,6.05639426887895,1.35425092837535,163.213558288484,99.7206575803274,"int","white","int_white"
