"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_blue_5x5.mnt",0.03203537707,160.47438576853,-160.44235039146,0.000199629223795306,-99.9800370776205,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.44235039146,99.9800370776205,"conf","blue","conf_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_green_5x5.mnt",0.03549923004,160.47438576853,-160.43888653849,0.000221214307006007,-99.9778785692994,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.43888653849,99.9778785692994,"conf","green","conf_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_conf_red_5x5.mnt",0.03620620344,160.47438576853,-160.43817956509,0.000225619828775817,-99.9774380171224,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.43817956509,99.9774380171224,"conf","red","conf_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_blue_5x5.mnt",0.02538343024,160.47438576853,-160.44900233829,0.000158177456909624,-99.984182254309,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.44900233829,99.984182254309,"fusion","blue","fusion_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_green_5x5.mnt",0.02779056906,160.47438576853,-160.44659519947,0.00017317760044326,-99.9826822399557,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.44659519947,99.9826822399557,"fusion","green","fusion_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_fusion_red_5x5.mnt",0.03038285042,160.47438576853,-160.44400291811,0.000189331464174131,-99.9810668535826,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.44400291811,99.9810668535826,"fusion","red","fusion_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_blue_5x5.mnt",0.06691259179,160.47438576853,-160.40747317674,0.00041696742735327,-99.9583032572647,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.40747317674,99.9583032572647,"FV","blue","FV_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_green_5x5.mnt",0.06662612818,160.47438576853,-160.40775964035,0.000415182322467975,-99.9584817677532,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.40775964035,99.9584817677532,"FV","green","FV_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_FV_red_5x5.mnt",0.07588264341,160.47438576853,-160.39850312512,0.000472864520070225,-99.952713547993,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.39850312512,99.952713547993,"FV","red","FV_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_blue_5x5.mnt",0.06732387297,160.47438576853,-160.40706189556,0.000419530335932295,-99.9580469664068,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.40706189556,99.9580469664068,"int","blue","int_blue"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_green_5x5.mnt",0.09283735005,160.47438576853,-160.38154841848,0.000578518182857604,-99.9421481817142,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.38154841848,99.9421481817142,"int","green","int_green"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_red_5x5.mnt",0.06062854114,160.47438576853,-160.41375722739,0.00037780821437417,-99.9622191785626,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.41375722739,99.9622191785626,"int","red","int_red"
"P3_Al7075\Al_B\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_B_x10_int_white_5x5.mnt",0.1241797722,160.47438576853,-160.35020599633,0.000773829241378861,-99.9226170758621,"Al7075_B.xlsx","Al7075_B.xlsx",20,23.4509834204426,5.24379930673303,160.35020599633,99.9226170758621,"int","white","int_white"
