"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00122610873005158,0.000416811990717747,0.00592353750356267,0.00288760365775431,0.0030501455049432,0.0292727856556496,0.0377592992767717,0.0375906702586946,0.0247147902572351,0.0262678156787644,0.0278299229399863,0.0266868895566006
"conf_green",0.00122610873005158,0,0.000809296739333831,0.00469742877351109,0.00166149492770273,0.00182403677489162,0.0304988943857012,0.0389854080068233,0.0388167789887461,0.0259408989872867,0.0274939244088159,0.0290560316700379,0.0279129982866522
"conf_red",0.000416811990717747,0.000809296739333831,0,0.00550672551284492,0.00247079166703656,0.00263333351422546,0.0296895976463674,0.0381761112674894,0.0380074822494123,0.0251316022479529,0.0266846276694821,0.0282467349307041,0.0271037015473183
"fusion_blue",0.00592353750356267,0.00469742877351109,0.00550672551284492,0,0.00303593384580836,0.00287339199861947,0.0351963231592123,0.0436828367803344,0.0435142077622572,0.0306383277607978,0.032191353182327,0.033753460443549,0.0326104270601633
"fusion_green",0.00288760365775431,0.00166149492770273,0.00247079166703656,0.00303593384580836,0,0.000162541847188891,0.0321603893134039,0.040646902934526,0.0404782739164489,0.0276023939149894,0.0291554193365187,0.0307175265977406,0.0295744932143549
"fusion_red",0.0030501455049432,0.00182403677489162,0.00263333351422546,0.00287339199861947,0.000162541847188891,0,0.0323229311605928,0.0408094447817149,0.0406408157636378,0.0277649357621783,0.0293179611837076,0.0308800684449295,0.0297370350615438
"FV_blue",0.0292727856556496,0.0304988943857012,0.0296895976463674,0.0351963231592123,0.0321603893134039,0.0323229311605928,0,0.00848651362112207,0.00831788460304494,0.0045579953984145,0.00300496997688526,0.0014428627156633,0.00258589609904902
"FV_green",0.0377592992767717,0.0389854080068233,0.0381761112674894,0.0436828367803344,0.040646902934526,0.0408094447817149,0.00848651362112207,0,0.000168629018077127,0.0130445090195366,0.0114914835980073,0.00992937633678537,0.0110724097201711
"FV_red",0.0375906702586946,0.0388167789887461,0.0380074822494123,0.0435142077622572,0.0404782739164489,0.0406408157636378,0.00831788460304494,0.000168629018077127,0,0.0128758800014594,0.0113228545799302,0.00976074731870824,0.010903780702094
"int_blue",0.0247147902572351,0.0259408989872867,0.0251316022479529,0.0306383277607978,0.0276023939149894,0.0277649357621783,0.0045579953984145,0.0130445090195366,0.0128758800014594,0,0.00155302542152924,0.00311513268275121,0.00197209929936548
"int_green",0.0262678156787644,0.0274939244088159,0.0266846276694821,0.032191353182327,0.0291554193365187,0.0293179611837076,0.00300496997688526,0.0114914835980073,0.0113228545799302,0.00155302542152924,0,0.00156210726122197,0.00041907387783624
"int_red",0.0278299229399863,0.0290560316700379,0.0282467349307041,0.033753460443549,0.0307175265977406,0.0308800684449295,0.0014428627156633,0.00992937633678537,0.00976074731870824,0.00311513268275121,0.00156210726122197,0,0.00114303338338573
"int_white",0.0266868895566006,0.0279129982866522,0.0271037015473183,0.0326104270601633,0.0295744932143549,0.0297370350615438,0.00258589609904902,0.0110724097201711,0.010903780702094,0.00197209929936548,0.00041907387783624,0.00114303338338573,0
