"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_conf_blue_5x5.mnt",0.02491451334,79.2961251804769,-79.2712106671369,0.000314195848577656,-99.9685804151422,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2712106671369,99.9685804151422,"conf","blue","conf_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_conf_green_5x5.mnt",0.02407636798,79.2961251804769,-79.2720488124969,0.000303626033746321,-99.9696373966254,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2720488124969,99.9696373966254,"conf","green","conf_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_conf_red_5x5.mnt",0.02539041271,79.2961251804769,-79.2707347677669,0.000320197394919509,-99.967980260508,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2707347677669,99.967980260508,"conf","red","conf_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_fusion_blue_5x5.mnt",0.01961666363,79.2961251804769,-79.2765085168469,0.000247384895357153,-99.9752615104643,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2765085168469,99.9752615104643,"fusion","blue","fusion_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_fusion_green_5x5.mnt",0.01896972085,79.2961251804769,-79.2771554596269,0.000239226327980405,-99.976077367202,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2771554596269,99.976077367202,"fusion","green","fusion_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_fusion_red_5x5.mnt",0.01993247658,79.2961251804769,-79.2761927038969,0.000251367598790407,-99.974863240121,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2761927038969,99.974863240121,"fusion","red","fusion_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_FV_blue_5x5.mnt",0.05056770484,79.2961251804769,-79.2455574756369,0.000637707135435793,-99.9362292864564,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2455574756369,99.9362292864564,"FV","blue","FV_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_FV_green_5x5.mnt",0.05189434535,79.2961251804769,-79.2442308351269,0.000654437341444984,-99.9345562658555,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2442308351269,99.9345562658555,"FV","green","FV_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_FV_red_5x5.mnt",0.05117325748,79.2961251804769,-79.2449519229969,0.000645343733549784,-99.935465626645,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2449519229969,99.935465626645,"FV","red","FV_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_blue_5x5.mnt",0.05152439958,79.2961251804769,-79.2446007808969,0.000649771971363432,-99.9350228028637,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2446007808969,99.9350228028637,"int","blue","int_blue"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_green_5x5.mnt",0.05007672517,79.2961251804769,-79.2460484553069,0.000631515412083832,-99.9368484587916,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2460484553069,99.9368484587916,"int","green","int_green"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_red_5x5.mnt",0.0410052904,79.2961251804769,-79.2551198900769,0.000517115941121618,-99.9482884058879,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2551198900769,99.9482884058879,"int","red","int_red"
"P3_Al7075\Al_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_GRI_x10_int_white_5x5.mnt",0.05036043888,79.2961251804769,-79.2457647415969,0.000635093313391799,-99.9364906686608,"Al7075_GRI.xlsx","Al7075_GRI.xlsx",20,4.80904545261752,1.0753352538939,79.2457647415969,99.9364906686608,"int","white","int_white"
