"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.0225248336001869,0.0294514606058272,0.00197430559053657,0.0192540610285903,0.0260754217118659,0.0291574756586215,0.0234763731456269,0.0332480918558673,0.0851919556284031,0.0988069051844747,0.0534117958492573,0.130936836380727
"conf_green",0.0225248336001869,0,0.00692662700564028,0.0244991391907234,0.00327077257159658,0.00355058811167908,0.00663264205843461,0.000951539545440028,0.0107232582556804,0.0626671220282162,0.0762820715842878,0.0308869622490704,0.10841200278054
"conf_red",0.0294514606058272,0.00692662700564028,0,0.0314257661963637,0.0101973995772369,0.00337603889396121,0.000293984947205672,0.00597508746020026,0.00379663125004015,0.0557404950225759,0.0693554445786475,0.0239603352434301,0.101485375774899
"fusion_blue",0.00197430559053657,0.0244991391907234,0.0314257661963637,0,0.0212283666191269,0.0280497273024025,0.0311317812491581,0.0254506787361635,0.0352223974464039,0.0871662612189397,0.100781210775011,0.0553861014397938,0.132911141971263
"fusion_green",0.0192540610285903,0.00327077257159658,0.0101973995772369,0.0212283666191269,0,0.00682136068327566,0.00990341463003119,0.00422231211703661,0.013994030827277,0.0659378945998128,0.0795528441558844,0.034157734820667,0.111682775352136
"fusion_red",0.0260754217118659,0.00355058811167908,0.00337603889396121,0.0280497273024025,0.00682136068327566,0,0.00308205394675554,0.00259904856623905,0.00717267014400136,0.0591165339165372,0.0727314834726087,0.0273363741373913,0.104861414668861
"FV_blue",0.0291574756586215,0.00663264205843461,0.000293984947205672,0.0311317812491581,0.00990341463003119,0.00308205394675554,0,0.00568110251299458,0.00409061619724582,0.0560344799697816,0.0696494295258532,0.0242543201906358,0.101779360722105
"FV_green",0.0234763731456269,0.000951539545440028,0.00597508746020026,0.0254506787361635,0.00422231211703661,0.00259904856623905,0.00568110251299458,0,0.00977171871024041,0.0617155824827762,0.0753305320388478,0.0299354227036304,0.1074604632351
"FV_red",0.0332480918558673,0.0107232582556804,0.00379663125004015,0.0352223974464039,0.013994030827277,0.00717267014400136,0.00409061619724582,0.00977171871024041,0,0.0519438637725358,0.0655588133286074,0.02016370399339,0.0976887445248593
"int_blue",0.0851919556284031,0.0626671220282162,0.0557404950225759,0.0871662612189397,0.0659378945998128,0.0591165339165372,0.0560344799697816,0.0617155824827762,0.0519438637725358,0,0.0136149495560716,0.0317801597791458,0.0457448807523235
"int_green",0.0988069051844747,0.0762820715842878,0.0693554445786475,0.100781210775011,0.0795528441558844,0.0727314834726087,0.0696494295258532,0.0753305320388478,0.0655588133286074,0.0136149495560716,0,0.0453951093352174,0.032129931196252
"int_red",0.0534117958492573,0.0308869622490704,0.0239603352434301,0.0553861014397938,0.034157734820667,0.0273363741373913,0.0242543201906358,0.0299354227036304,0.02016370399339,0.0317801597791458,0.0453951093352174,0,0.0775250405314694
"int_white",0.130936836380727,0.10841200278054,0.101485375774899,0.132911141971263,0.111682775352136,0.104861414668861,0.101779360722105,0.1074604632351,0.0976887445248593,0.0457448807523235,0.032129931196252,0.0775250405314694,0
