"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00673308229190184,0.00835151697593517,0.00434107866345812,0.0179552792550481,0.0194374197940874,0.0640155221685461,0.0651153908750359,0.0629513460719693,0.0302120552432825,0.0153405069805927,0.0199426099867281,0.0152054466211808
"conf_green",0.00673308229190184,0,0.00161843468403333,0.00239200362844372,0.0112221969631463,0.0127043375021856,0.070748604460448,0.0718484731669378,0.0696844283638711,0.0369451375351844,0.0220735892724946,0.02667569227863,0.0219385289130827
"conf_red",0.00835151697593517,0.00161843468403333,0,0.00401043831247705,0.00960376227911297,0.0110859028181522,0.0723670391444813,0.0734669078509711,0.0713028630479045,0.0385635722192177,0.0236920239565279,0.0282941269626633,0.023556963597116
"fusion_blue",0.00434107866345812,0.00239200362844372,0.00401043831247705,0,0.01361420059159,0.0150963411306293,0.0683566008320042,0.069456469538494,0.0672924247354274,0.0345531339067406,0.0196815856440509,0.0242836886501863,0.019546525284639
"fusion_green",0.0179552792550481,0.0112221969631463,0.00960376227911297,0.01361420059159,0,0.00148214053903928,0.0819708014235943,0.0830706701300841,0.0809066253270174,0.0481673344983307,0.0332957862356409,0.0378978892417763,0.033160725876229
"fusion_red",0.0194374197940874,0.0127043375021856,0.0110859028181522,0.0150963411306293,0.00148214053903928,0,0.0834529419626335,0.0845528106691233,0.0823887658660567,0.0496494750373699,0.0347779267746802,0.0393800297808156,0.0346428664152683
"FV_blue",0.0640155221685461,0.070748604460448,0.0723670391444813,0.0683566008320042,0.0819708014235943,0.0834529419626335,0,0.00109986870648981,0.00106417609657683,0.0338034669252636,0.0486750151879534,0.044072912181818,0.0488100755473653
"FV_green",0.0651153908750359,0.0718484731669378,0.0734669078509711,0.069456469538494,0.0830706701300841,0.0845528106691233,0.00109986870648981,0,0.00216404480306664,0.0349033356317534,0.0497748838944432,0.0451727808883078,0.0499099442538551
"FV_red",0.0629513460719693,0.0696844283638711,0.0713028630479045,0.0672924247354274,0.0809066253270174,0.0823887658660567,0.00106417609657683,0.00216404480306664,0,0.0327392908286868,0.0476108390913765,0.0430087360852411,0.0477458994507884
"int_blue",0.0302120552432825,0.0369451375351844,0.0385635722192177,0.0345531339067406,0.0481673344983307,0.0496494750373699,0.0338034669252636,0.0349033356317534,0.0327392908286868,0,0.0148715482626898,0.0102694452565544,0.0150066086221017
"int_green",0.0153405069805927,0.0220735892724946,0.0236920239565279,0.0196815856440509,0.0332957862356409,0.0347779267746802,0.0486750151879534,0.0497748838944432,0.0476108390913765,0.0148715482626898,0,0.00460210300613539,0.000135060359411909
"int_red",0.0199426099867281,0.02667569227863,0.0282941269626633,0.0242836886501863,0.0378978892417763,0.0393800297808156,0.044072912181818,0.0451727808883078,0.0430087360852411,0.0102694452565544,0.00460210300613539,0,0.0047371633655473
"int_white",0.0152054466211808,0.0219385289130827,0.023556963597116,0.019546525284639,0.033160725876229,0.0346428664152683,0.0488100755473653,0.0499099442538551,0.0477458994507884,0.0150066086221017,0.000135060359411909,0.0047371633655473,0
