"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_conf_blue_5x5.mnt",0.08534913005,158.737304128863,-158.651954998813,0.00053767531531664,-99.9462324684683,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.651954998813,99.9462324684683,"conf","blue","conf_blue"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_conf_green_5x5.mnt",0.08345857005,158.737304128863,-158.653845558813,0.000525765323456975,-99.9474234676543,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.653845558813,99.9474234676543,"conf","green","conf_green"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_conf_red_5x5.mnt",0.08405761486,158.737304128863,-158.653246514003,0.00052953913587799,-99.9470460864122,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.653246514003,99.9470460864122,"conf","red","conf_red"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_fusion_blue_5x5.mnt",0.07563283383,158.737304128863,-158.661671295033,0.000476465404556708,-99.9523534595443,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.661671295033,99.9523534595443,"fusion","blue","fusion_blue"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_fusion_green_5x5.mnt",0.07888032126,158.737304128863,-158.658423807603,0.00049692365441689,-99.9503076345583,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.658423807603,99.9503076345583,"fusion","green","fusion_green"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_fusion_red_5x5.mnt",0.07351356947,158.737304128863,-158.663790559393,0.000463114640086879,-99.9536885359913,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.663790559393,99.9536885359913,"fusion","red","fusion_red"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_FV_blue_5x5.mnt",0.1223816587,158.737304128863,-158.614922470163,0.000770969743826885,-99.9229030256173,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.614922470163,99.9229030256173,"FV","blue","FV_blue"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_FV_green_5x5.mnt",0.1245149577,158.737304128863,-158.612789171163,0.000784408922548656,-99.9215591077451,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.612789171163,99.9215591077451,"FV","green","FV_green"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_FV_red_5x5.mnt",0.1207675152,158.737304128863,-158.616536613663,0.000760801097528787,-99.9239198902471,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.616536613663,99.9239198902471,"FV","red","FV_red"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_int_blue_5x5.mnt",0.1382695418,158.737304128863,-158.599034587063,0.000871058901742167,-99.9128941098258,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.599034587063,99.9128941098258,"int","blue","int_blue"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_int_green_5x5.mnt",0.0990109119,158.737304128863,-158.638293216963,0.000623740666652766,-99.9376259333347,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.638293216963,99.9376259333347,"int","green","int_green"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_int_red_5x5.mnt",0.1037128394,158.737304128863,-158.633591289463,0.000653361476492039,-99.9346638523508,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.633591289463,99.9346638523508,"int","red","int_red"
"P3_Al7075\Al_WEDM_R\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Al7075_WEDM_R_x10_int_white_5x5.mnt",0.09870536624,158.737304128863,-158.638598762623,0.000621815815643881,-99.9378184184356,"Al7075_WEDM_R.xlsx","Al7075_WEDM_R.xlsx",20,9.97512858234128,2.23050655944162,158.638598762623,99.9378184184356,"int","white","int_white"
