"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_conf_green_5x5.mnt",0.03477503174,137.72625770455,-137.69148267281,0.00025249384045996,-99.974750615954,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.69148267281,99.974750615954,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_conf_red_5x5.mnt",0.03292686442,137.72625770455,-137.69333084013,0.000239074704916724,-99.9760925295083,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.69333084013,99.9760925295083,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_blue_5x5.mnt",0.0291522822,137.72625770455,-137.69710542235,0.00021166829539896,-99.9788331704601,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.69710542235,99.9788331704601,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_green_5x5.mnt",0.02885506493,137.72625770455,-137.69740263962,0.000209510266313195,-99.9790489733687,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.69740263962,99.9790489733687,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_red_5x5.mnt",0.02783786332,137.72625770455,-137.69841984123,0.000202124589631396,-99.9797875410369,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.69841984123,99.9797875410369,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_blue_5x5.mnt",0.06353734067,137.72625770455,-137.66272036388,0.000461330625902144,-99.9538669374098,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.66272036388,99.9538669374098,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_green_5x5.mnt",0.05920339897,137.72625770455,-137.66705430558,0.000429862830492374,-99.9570137169508,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.66705430558,99.9570137169508,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_red_5x5.mnt",0.06099357634,137.72625770455,-137.66526412821,0.000442860913790624,-99.9557139086209,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.66526412821,99.9557139086209,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_blue_5x5.mnt",0.04192778862,137.72625770455,-137.68432991593,0.000304428431577248,-99.9695571568423,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.68432991593,99.9695571568423,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_blue_5x5_pomiar2.mnt",0.04181771714,137.72625770455,-137.68443998741,0.000303629226822581,-99.9696370773177,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.68443998741,99.9696370773177,"int","blue","int_blue"
"C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_green_5x5.mnt",0.06651796214,137.72625770455,-137.65973974241,0.000482972261416513,-99.9517027738583,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.65973974241,99.9517027738583,"int","green","int_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_red_5x5.mnt",0.05113793782,137.72625770455,-137.67511976673,0.000371301294846049,-99.9628698705154,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.67511976673,99.9628698705154,"int","red","int_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_white_5x5.mnt",0.07038432018,137.72625770455,-137.65587338437,0.000511045034934357,-99.9488954965066,"C45_B.xlsx","C45_B.xlsx",20,12.1494736331114,2.71670489344783,137.65587338437,99.9488954965066,"int","white","int_white"
