"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_conf_blue_5x5.mnt",0.02995015279,98.8138380673951,-98.7838879146051,0.000303096746121457,-99.9696903253879,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7838879146051,99.9696903253879,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_conf_green_5x5.mnt",0.03189110022,98.8138380673951,-98.7819469671751,0.000322739211872825,-99.9677260788127,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7819469671751,99.9677260788127,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_conf_red_5x5.mnt",0.03337595811,98.8138380673951,-98.7804621092851,0.000337766033207173,-99.9662233966793,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7804621092851,99.9662233966793,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_fusion_blue_5x5.mnt",0.02534207369,98.8138380673951,-98.7884959937051,0.000256462801016956,-99.9743537198983,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7884959937051,99.9743537198983,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_fusion_green_5x5.mnt",0.02762419195,98.8138380673951,-98.7862138754451,0.000279557929236178,-99.9720442070764,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7862138754451,99.9720442070764,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_fusion_red_5x5.mnt",0.02929959396,98.8138380673951,-98.784538473435,0.000296513064698656,-99.9703486935301,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.784538473435,99.9703486935301,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_FV_blue_5x5.mnt",0.05422812227,98.8138380673951,-98.759609945125,0.00054879076990223,-99.9451209230098,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.759609945125,99.9451209230098,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_FV_green_5x5.mnt",0.0595588566,98.8138380673951,-98.754279210795,0.000602738014885915,-99.9397261985114,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.754279210795,99.9397261985114,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_FV_red_5x5.mnt",0.05937643675,98.8138380673951,-98.7544616306451,0.000600891918695667,-99.9399108081304,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7544616306451,99.9399108081304,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_blue_5x5.mnt",0.0487437638,98.8138380673951,-98.765094303595,0.000493288842467133,-99.9506711157533,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.765094303595,99.9506711157533,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_green_5x5.mnt",0.05884053585,98.8138380673951,-98.7549975315451,0.000595468580117983,-99.9404531419882,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.7549975315451,99.9404531419882,"int","green","int_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_red_5x5.mnt",0.05429398475,98.8138380673951,-98.759544082645,0.000549457300838465,-99.9450542699161,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.759544082645,99.9450542699161,"int","red","int_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_white_5x5.mnt",0.05969642092,98.8138380673951,-98.754141646475,0.000604130171315526,-99.9395869828684,"C45_GLA.xlsx","C45_GLA.xlsx",20,6.96292974258838,1.55695842269827,98.754141646475,99.9395869828684,"int","white","int_white"
