"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.000632964528350044,0.00097515005943194,0.00798671336066548,0.00864952715822653,0.00742101471686851,0.037637035063284,0.0405099900765293,0.040891956890718,0.0416558084062046,0.0343035663823201,0.0247429463833129,0.0357130438247282
"conf_green",0.000632964528350044,0,0.00160811458778198,0.00735374883231543,0.00801656262987649,0.00678805018851847,0.038269999591634,0.0411429546048794,0.0415249214190681,0.0422887729345547,0.0349365309106702,0.0253759109116629,0.0363460083530782
"conf_red",0.00097515005943194,0.00160811458778198,0,0.00896186342009742,0.00962467721765847,0.00839616477630045,0.036661885003852,0.0395348400170974,0.0399168068312861,0.0406806583467727,0.0333284163228882,0.0237677963238809,0.0347378937652962
"fusion_blue",0.00798671336066548,0.00735374883231543,0.00896186342009742,0,0.000662813797561057,0.000565698643796964,0.0456237484239495,0.0484967034371948,0.0488786702513835,0.0496425217668701,0.0422902797429856,0.0327296597439783,0.0436997571853937
"fusion_green",0.00864952715822653,0.00801656262987649,0.00962467721765847,0.000662813797561057,0,0.00122851244135802,0.0462865622215105,0.0491595172347559,0.0495414840489445,0.0503053355644312,0.0429530935405467,0.0333924735415394,0.0443625709829547
"fusion_red",0.00742101471686851,0.00678805018851847,0.00839616477630045,0.000565698643796964,0.00122851244135802,0,0.0450580497801525,0.0479310047933978,0.0483129716075865,0.0490768231230732,0.0417245810991886,0.0321639611001814,0.0431340585415967
"FV_blue",0.037637035063284,0.038269999591634,0.036661885003852,0.0456237484239495,0.0462865622215105,0.0450580497801525,0,0.00287295501324536,0.00325492182743403,0.00401877334292067,0.00333346868096385,0.0128940886799711,0.0019239912385558
"FV_green",0.0405099900765293,0.0411429546048794,0.0395348400170974,0.0484967034371948,0.0491595172347559,0.0479310047933978,0.00287295501324536,0,0.000381966814188672,0.00114581832967531,0.00620642369420921,0.0157670436932165,0.00479694625180116
"FV_red",0.040891956890718,0.0415249214190681,0.0399168068312861,0.0488786702513835,0.0495414840489445,0.0483129716075865,0.00325492182743403,0.000381966814188672,0,0.000763851515486635,0.00658839050839788,0.0161490105074051,0.00517891306598983
"int_blue",0.0416558084062046,0.0422887729345547,0.0406806583467727,0.0496425217668701,0.0503053355644312,0.0490768231230732,0.00401877334292067,0.00114581832967531,0.000763851515486635,0,0.00735224202388451,0.0169128620228918,0.00594276458147647
"int_green",0.0343035663823201,0.0349365309106702,0.0333284163228882,0.0422902797429856,0.0429530935405467,0.0417245810991886,0.00333346868096385,0.00620642369420921,0.00658839050839788,0.00735224202388451,0,0.00956061999900726,0.00140947744240805
"int_red",0.0247429463833129,0.0253759109116629,0.0237677963238809,0.0327296597439783,0.0333924735415394,0.0321639611001814,0.0128940886799711,0.0157670436932165,0.0161490105074051,0.0169128620228918,0.00956061999900726,0,0.0109700974414153
"int_white",0.0357130438247282,0.0363460083530782,0.0347378937652962,0.0436997571853937,0.0443625709829547,0.0431340585415967,0.0019239912385558,0.00479694625180116,0.00517891306598983,0.00594276458147647,0.00140947744240805,0.0109700974414153,0
