"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00704571513986707,0.00804714042688204,0.0125111407701723,0.0196740740540946,0.0210206259834251,0.067260695850706,0.0646448484162079,0.0611881215600363,0.0635500991247113,0.0215643270331327,0.0231244984969408,0.0207264324374137
"conf_green",0.00704571513986707,0,0.00100142528701497,0.00546542563030528,0.0126283589142275,0.0139749108435581,0.0743064109905731,0.0716905635560749,0.0682338366999033,0.0705958142645784,0.0286100421729998,0.0301702136368078,0.0277721475772807
"conf_red",0.00804714042688204,0.00100142528701497,0,0.00446400034329031,0.0116269336272126,0.0129734855565431,0.0753078362775881,0.0726919888430899,0.0692352619869183,0.0715972395515934,0.0296114674600148,0.0311716389238228,0.0287735728642957
"fusion_blue",0.0125111407701723,0.00546542563030528,0.00446400034329031,0,0.00716293328392226,0.00850948521325279,0.0797718366208784,0.0771559891863802,0.0736992623302086,0.0760612398948837,0.0340754678033051,0.0356356392671131,0.033237573207586
"fusion_green",0.0196740740540946,0.0126283589142275,0.0116269336272126,0.00716293328392226,0,0.00134655192933053,0.0869347699048006,0.0843189224703025,0.0808621956141309,0.0832241731788059,0.0412384010872273,0.0427985725510354,0.0404005064915083
"fusion_red",0.0210206259834251,0.0139749108435581,0.0129734855565431,0.00850948521325279,0.00134655192933053,0,0.0882813218341312,0.085665474399633,0.0822087475434614,0.0845707251081365,0.0425849530165578,0.0441451244803659,0.0417470584208388
"FV_blue",0.067260695850706,0.0743064109905731,0.0753078362775881,0.0797718366208784,0.0869347699048006,0.0882813218341312,0,0.00261584743449816,0.00607257429066976,0.00371059672599472,0.0456963688175733,0.0441361973537653,0.0465342634132924
"FV_green",0.0646448484162079,0.0716905635560749,0.0726919888430899,0.0771559891863802,0.0843189224703025,0.085665474399633,0.00261584743449816,0,0.0034567268561716,0.00109474929149656,0.0430805213830752,0.0415203499192671,0.0439184159787942
"FV_red",0.0611881215600363,0.0682338366999033,0.0692352619869183,0.0736992623302086,0.0808621956141309,0.0822087475434614,0.00607257429066976,0.0034567268561716,0,0.00236197756467504,0.0396237945269036,0.0380636230630955,0.0404616891226226
"int_blue",0.0635500991247113,0.0705958142645784,0.0715972395515934,0.0760612398948837,0.0832241731788059,0.0845707251081365,0.00371059672599472,0.00109474929149656,0.00236197756467504,0,0.0419857720915786,0.0404256006277706,0.0428236666872976
"int_green",0.0215643270331327,0.0286100421729998,0.0296114674600148,0.0340754678033051,0.0412384010872273,0.0425849530165578,0.0456963688175733,0.0430805213830752,0.0396237945269036,0.0419857720915786,0,0.00156017146380805,0.000837894595719035
"int_red",0.0231244984969408,0.0301702136368078,0.0311716389238228,0.0356356392671131,0.0427985725510354,0.0441451244803659,0.0441361973537653,0.0415203499192671,0.0380636230630955,0.0404256006277706,0.00156017146380805,0,0.00239806605952708
"int_white",0.0207264324374137,0.0277721475772807,0.0287735728642957,0.033237573207586,0.0404005064915083,0.0417470584208388,0.0465342634132924,0.0439184159787942,0.0404616891226226,0.0428236666872976,0.000837894595719035,0.00239806605952708,0
