"","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_green",0,0.00255372519862362,0.013209014347936,0.0131177977634422,0.0147786213057088,0.00892188576700903,0.0231226094873023,0.0164588028783612,0.00266403367839985,0.0643650815699459,0.0462563546496,0.068619375110174
"conf_red",0.00255372519862362,0,0.0106552891493124,0.0105640725648186,0.0122248961070852,0.0114756109656327,0.0256763346859259,0.0190125280769848,0.00521775887702347,0.0669188067685695,0.0488100798482236,0.0711731003087976
"fusion_blue",0.013209014347936,0.0106552891493124,0,9.12165844937363e-05,0.00156960695777286,0.022130900114945,0.0363316238352382,0.0296678172262972,0.0158730480263358,0.0775740959178819,0.059465368997536,0.08182838945811
"fusion_green",0.0131177977634422,0.0105640725648186,9.12165844937363e-05,0,0.0016608235422666,0.0220396835304513,0.0362404072507445,0.0295766006418035,0.0157818314418421,0.0774828793333882,0.0593741524130422,0.0817371728736163
"fusion_red",0.0147786213057088,0.0122248961070852,0.00156960695777286,0.0016608235422666,0,0.0237005070727179,0.0379012307930111,0.0312374241840701,0.0174426549841087,0.0791437028756548,0.0610349759553088,0.0833979964158829
"FV_blue",0.00892188576700903,0.0114756109656327,0.022130900114945,0.0220396835304513,0.0237005070727179,0,0.0142007237202932,0.00753691711135218,0.00625785208860918,0.0554431958029369,0.037334468882591,0.059697489343165
"FV_green",0.0231226094873023,0.0256763346859259,0.0363316238352382,0.0362404072507445,0.0379012307930111,0.0142007237202932,0,0.00666380660894106,0.0204585758089024,0.0412424720826436,0.0231337451622977,0.0454967656228717
"FV_red",0.0164588028783612,0.0190125280769848,0.0296678172262972,0.0295766006418035,0.0312374241840701,0.00753691711135218,0.00666380660894106,0,0.0137947691999614,0.0479062786915847,0.0297975517712388,0.0521605722318128
"int_blue",0.00266403367839985,0.00521775887702347,0.0158730480263358,0.0157818314418421,0.0174426549841087,0.00625785208860918,0.0204585758089024,0.0137947691999614,0,0.0617010478915461,0.0435923209712001,0.0659553414317742
"int_green",0.0643650815699459,0.0669188067685695,0.0775740959178819,0.0774828793333882,0.0791437028756548,0.0554431958029369,0.0412424720826436,0.0479062786915847,0.0617010478915461,0,0.0181087269203459,0.0042542935402281
"int_red",0.0462563546496,0.0488100798482236,0.059465368997536,0.0593741524130422,0.0610349759553088,0.037334468882591,0.0231337451622977,0.0297975517712388,0.0435923209712001,0.0181087269203459,0,0.022363020460574
"int_white",0.068619375110174,0.0711731003087976,0.08182838945811,0.0817371728736163,0.0833979964158829,0.059697489343165,0.0454967656228717,0.0521605722318128,0.0659553414317742,0.0042542935402281,0.022363020460574,0
