"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_conf_blue_5x5.mnt",0.0241348845,42.0545639439095,-42.0304290594095,0.000573894536920893,-99.9426105463079,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0304290594095,99.9426105463079,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_conf_green_5x5.mnt",0.02237199514,42.0545639439095,-42.0321919487695,0.000531975439570335,-99.946802456043,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0321919487695,99.946802456043,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_conf_red_5x5.mnt",0.02311618474,42.0545639439095,-42.0314477591695,0.000549671250207976,-99.9450328749792,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0314477591695,99.9450328749792,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_fusion_blue_5x5.mnt",0.02261878676,42.0545639439095,-42.0319451571495,0.000537843806683335,-99.9462156193317,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0319451571495,99.9462156193317,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_fusion_green_5x5.mnt",0.01939188475,42.0545639439095,-42.0351720591595,0.000461112491283087,-99.9538887508717,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0351720591595,99.9538887508717,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_fusion_red_5x5.mnt",0.01994384576,42.0545639439095,-42.0346200981495,0.000474237369018978,-99.9525762630981,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0346200981495,99.9525762630981,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_FV_blue_5x5.mnt",0.04634896014,42.0545639439095,-42.0082149837695,0.00110211486681489,-99.8897885133185,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0082149837695,99.8897885133185,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_FV_green_5x5.mnt",0.04666444029,42.0545639439095,-42.0078995036195,0.00110961655320547,-99.8890383446794,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0078995036195,99.8890383446794,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_FV_red_5x5.mnt",0.04540944383,42.0545639439095,-42.0091545000795,0.00107977445422012,-99.892022554578,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0091545000795,99.892022554578,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_blue_5x5.mnt",0.04751999236,42.0545639439095,-42.0070439515495,0.00112996041103601,-99.8870039588964,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0070439515495,99.8870039588964,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_green_5x5.mnt",0.03552941614,42.0545639439095,-42.0190345277695,0.000844840911616336,-99.9155159088384,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0190345277695,99.9155159088384,"int","green","int_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_red_5x5.mnt",0.03555959184,42.0545639439095,-42.0190043520695,0.00084555844848202,-99.9154441551518,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0190043520695,99.9154441551518,"int","red","int_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_white_5x5.mnt",0.03489409104,42.0545639439095,-42.0196698528695,0.000829733749862207,-99.9170266250138,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,1.56706756095317,0.350406959162609,42.0196698528695,99.9170266250138,"int","white","int_white"
