"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00419190973505579,0.00242232867128678,0.00360507302374913,0.01127820456378,0.00996571679019098,0.0528220329894111,0.0535722016284694,0.0505879917299268,0.0556065874115177,0.0270946374695598,0.0271663911561149,0.0255839212941424
"conf_green",0.00419190973505579,0,0.00176958106376901,0.00058683671130666,0.00708629482872425,0.00577380705513519,0.0570139427244669,0.0577641113635252,0.0547799014649826,0.0597984971465735,0.0312865472046155,0.0313583008911706,0.0297758310291982
"conf_red",0.00242232867128678,0.00176958106376901,0,0.00118274435246235,0.00885587589249326,0.0075433881189042,0.0552443616606979,0.0559945302997562,0.0530103204012136,0.0580289160828045,0.0295169661408465,0.0295887198274016,0.0280062499654292
"fusion_blue",0.00360507302374913,0.00058683671130666,0.00118274435246235,0,0.00767313154003091,0.00636064376644185,0.0564271060131603,0.0571772746522186,0.0541930647536759,0.0592116604352668,0.0306997104933089,0.030771464179864,0.0291889943178916
"fusion_green",0.01127820456378,0.00708629482872425,0.00885587589249326,0.00767313154003091,0,0.00131248777358905,0.0641002375531912,0.0648504061922495,0.0618661962937068,0.0668847919752977,0.0383728420333398,0.0384445957198949,0.0368621258579225
"fusion_red",0.00996571679019098,0.00577380705513519,0.0075433881189042,0.00636064376644185,0.00131248777358905,0,0.0627877497796021,0.0635379184186604,0.0605537085201178,0.0655723042017087,0.0370603542597507,0.0371321079463058,0.0355496380843334
"FV_blue",0.0528220329894111,0.0570139427244669,0.0552443616606979,0.0564271060131603,0.0641002375531912,0.0627877497796021,0,0.000750168639058302,0.00223404125948434,0.00278455442210657,0.0257273955198514,0.0256556418332963,0.0272381116952687
"FV_green",0.0535722016284694,0.0577641113635252,0.0559945302997562,0.0571772746522186,0.0648504061922495,0.0635379184186604,0.000750168639058302,0,0.00298420989854264,0.00203438578304826,0.0264775641589097,0.0264058104723546,0.027988280334327
"FV_red",0.0505879917299268,0.0547799014649826,0.0530103204012136,0.0541930647536759,0.0618661962937068,0.0605537085201178,0.00223404125948434,0.00298420989854264,0,0.00501859568159091,0.023493354260367,0.0234216005738119,0.0250040704357843
"int_blue",0.0556065874115177,0.0597984971465735,0.0580289160828045,0.0592116604352668,0.0668847919752977,0.0655723042017087,0.00278455442210657,0.00203438578304826,0.00501859568159091,0,0.0285119499419579,0.0284401962554028,0.0300226661173753
"int_green",0.0270946374695598,0.0312865472046155,0.0295169661408465,0.0306997104933089,0.0383728420333398,0.0370603542597507,0.0257273955198514,0.0264775641589097,0.023493354260367,0.0285119499419579,0,7.17536865550983e-05,0.00151071617541731
"int_red",0.0271663911561149,0.0313583008911706,0.0295887198274016,0.030771464179864,0.0384445957198949,0.0371321079463058,0.0256556418332963,0.0264058104723546,0.0234216005738119,0.0284401962554028,7.17536865550983e-05,0,0.00158246986197241
"int_white",0.0255839212941424,0.0297758310291982,0.0280062499654292,0.0291889943178916,0.0368621258579225,0.0355496380843334,0.0272381116952687,0.027988280334327,0.0250040704357843,0.0300226661173753,0.00151071617541731,0.00158246986197241,0
