"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00584840125232233,0.00841601375763901,0.0026758968254228,0.00463843852340062,0.00604195808512031,0.0214941140432359,0.0224145747608873,0.0208368268195187,0.0860803488893964,0.00261586397537883,0.00221296078061073,0.00309590537206361
"conf_green",0.00584840125232233,0,0.00256761250531667,0.00317250442689954,0.00120996272892171,0.000193556832797981,0.0273425152955582,0.0282629760132096,0.026685228071841,0.0919287501417188,0.0032325372769435,0.00806136203293306,0.00275249588025872
"conf_red",0.00841601375763901,0.00256761250531667,0,0.00574011693221621,0.00377757523423838,0.00237405567251869,0.0299101278008749,0.0308305885185263,0.0292528405771577,0.0944963626470354,0.00580014978226018,0.0106289745382497,0.0053201083855754
"fusion_blue",0.0026758968254228,0.00317250442689954,0.00574011693221621,0,0.00196254169797783,0.00336606125969752,0.0241700108686587,0.0250904715863101,0.0235127236449415,0.0887562457148192,6.00328500439673e-05,0.00488885760603353,0.000420008546640815
"fusion_green",0.00463843852340062,0.00120996272892171,0.00377757523423838,0.00196254169797783,0,0.00140351956171969,0.0261325525666365,0.0270530132842879,0.0254752653429193,0.090718787412797,0.00202257454802179,0.00685139930401135,0.00154253315133701
"fusion_red",0.00604195808512031,0.000193556832797981,0.00237405567251869,0.00336606125969752,0.00140351956171969,0,0.0275360721283562,0.0284565328460076,0.026878784904639,0.0921223069745167,0.00342609410974148,0.00825491886573104,0.0029460527130567
"FV_blue",0.0214941140432359,0.0273425152955582,0.0299101278008749,0.0241700108686587,0.0261325525666365,0.0275360721283562,0,0.000920460717651395,0.000657287223717162,0.0645862348461606,0.0241099780186147,0.0192811532626251,0.0245900194152995
"FV_green",0.0224145747608873,0.0282629760132096,0.0308305885185263,0.0250904715863101,0.0270530132842879,0.0284565328460076,0.000920460717651395,0,0.00157774794136856,0.0636657741285092,0.0250304387362661,0.0202016139802765,0.0255104801329509
"FV_red",0.0208368268195187,0.026685228071841,0.0292528405771577,0.0235127236449415,0.0254752653429193,0.026878784904639,0.000657287223717162,0.00157774794136856,0,0.0652435220698777,0.0234526907948975,0.018623866038908,0.0239327321915823
"int_blue",0.0860803488893964,0.0919287501417188,0.0944963626470354,0.0887562457148192,0.090718787412797,0.0921223069745167,0.0645862348461606,0.0636657741285092,0.0652435220698777,0,0.0886962128647752,0.0838673881087857,0.08917625426146
"int_green",0.00261586397537883,0.0032325372769435,0.00580014978226018,6.00328500439673e-05,0.00202257454802179,0.00342609410974148,0.0241099780186147,0.0250304387362661,0.0234526907948975,0.0886962128647752,0,0.00482882475598956,0.000480041396684783
"int_red",0.00221296078061073,0.00806136203293306,0.0106289745382497,0.00488885760603353,0.00685139930401135,0.00825491886573104,0.0192811532626251,0.0202016139802765,0.018623866038908,0.0838673881087857,0.00482882475598956,0,0.00530886615267434
"int_white",0.00309590537206361,0.00275249588025872,0.0053201083855754,0.000420008546640815,0.00154253315133701,0.0029460527130567,0.0245900194152995,0.0255104801329509,0.0239327321915823,0.08917625426146,0.000480041396684783,0.00530886615267434,0
