"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00501686583902483,0.00513561441565002,0.0117106492082968,0.0154189757817704,0.0157035151668197,0.051147715195583,0.0526038891296992,0.049926851094952,0.0504530587775207,0.0159371374145394,0.0181685846834796,0.0152681432659705
"conf_green",0.00501686583902483,0,0.000118748576625194,0.00669378336927196,0.0104021099427456,0.0106866493277948,0.0561645810346079,0.057620754968724,0.0549437169339768,0.0554699246165455,0.0209540032535642,0.0231854505225044,0.0202850091049953
"conf_red",0.00513561441565002,0.000118748576625194,0,0.00657503479264676,0.0102833613661204,0.0105679007511696,0.0562833296112331,0.0577395035453492,0.055062465510602,0.0555886731931707,0.0210727518301894,0.0233041990991296,0.0204037576816205
"fusion_blue",0.0117106492082968,0.00669378336927196,0.00657503479264676,0,0.00370832657347364,0.00399286595852288,0.0628583644038798,0.0643145383379959,0.0616375003032488,0.0621637079858175,0.0276477866228362,0.0298792338917764,0.0269787924742673
"fusion_green",0.0154189757817704,0.0104021099427456,0.0102833613661204,0.00370832657347364,0,0.000284539385049243,0.0665666909773535,0.0680228649114696,0.0653458268767224,0.0658720345592911,0.0313561131963098,0.03358756046525,0.0306871190477409
"fusion_red",0.0157035151668197,0.0106866493277948,0.0105679007511696,0.00399286595852288,0.000284539385049243,0,0.0668512303624027,0.0683074042965188,0.0656303662617717,0.0661565739443404,0.0316406525813591,0.0338720998502993,0.0309716584327902
"FV_blue",0.051147715195583,0.0561645810346079,0.0562833296112331,0.0628583644038798,0.0665666909773535,0.0668512303624027,0,0.00145617393411612,0.00122086410063105,0.000694656418062323,0.0352105777810436,0.0329791305121034,0.0358795719296126
"FV_green",0.0526038891296992,0.057620754968724,0.0577395035453492,0.0643145383379959,0.0680228649114696,0.0683074042965188,0.00145617393411612,0,0.00267703803474717,0.00215083035217845,0.0366667517151598,0.0344353044462196,0.0373357458637287
"FV_red",0.049926851094952,0.0549437169339768,0.055062465510602,0.0616375003032488,0.0653458268767224,0.0656303662617717,0.00122086410063105,0.00267703803474717,0,0.000526207682568725,0.0339897136804126,0.0317582664114724,0.0346587078289815
"int_blue",0.0504530587775207,0.0554699246165455,0.0555886731931707,0.0621637079858175,0.0658720345592911,0.0661565739443404,0.000694656418062323,0.00215083035217845,0.000526207682568725,0,0.0345159213629813,0.0322844740940411,0.0351849155115502
"int_green",0.0159371374145394,0.0209540032535642,0.0210727518301894,0.0276477866228362,0.0313561131963098,0.0316406525813591,0.0352105777810436,0.0366667517151598,0.0339897136804126,0.0345159213629813,0,0.0022314472689402,0.000668994148568913
"int_red",0.0181685846834796,0.0231854505225044,0.0233041990991296,0.0298792338917764,0.03358756046525,0.0338720998502993,0.0329791305121034,0.0344353044462196,0.0317582664114724,0.0322844740940411,0.0022314472689402,0,0.00290044141750911
"int_white",0.0152681432659705,0.0202850091049953,0.0204037576816205,0.0269787924742673,0.0306871190477409,0.0309716584327902,0.0358795719296126,0.0373357458637287,0.0346587078289815,0.0351849155115502,0.000668994148568913,0.00290044141750911,0
