"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.0126393020480151,0.0189921362271832,0.00979650785342301,0.00542483787221215,0.0100100580923481,0.00552869848493742,0.0137649359287479,0.0188231678918811,0.0141903643486927,0.125539915368719,0.0125845037531178,0.154278854678083
"conf_green",0.0126393020480151,0,0.0063528341791681,0.0224358099014381,0.00721446417580296,0.00262924395566699,0.00711060356307769,0.00112563388073283,0.00618386584386599,0.00155106230067759,0.112900613320704,5.47982948972958e-05,0.141639552630068
"conf_red",0.0189921362271832,0.0063528341791681,0,0.0287886440806062,0.0135672983549711,0.00898207813483509,0.0134634377422458,0.00522720029843526,0.000168968335302111,0.00480177187849051,0.106547779141536,0.00640763247406539,0.135286718450899
"fusion_blue",0.00979650785342301,0.0224358099014381,0.0287886440806062,0,0.0152213457256352,0.0198065659457711,0.0153252063383604,0.023561443782171,0.0286196757453041,0.0239868722021157,0.135336423222142,0.0223810116065408,0.164075362531506
"fusion_green",0.00542483787221215,0.00721446417580296,0.0135672983549711,0.0152213457256352,0,0.00458522022013597,0.000103860612725271,0.00834009805653579,0.0133983300196689,0.00876552647648055,0.120115077496507,0.00715966588090566,0.148854016805871
"fusion_red",0.0100100580923481,0.00262924395566699,0.00898207813483509,0.0198065659457711,0.00458522022013597,0,0.0044813596074107,0.00375487783639983,0.00881310979953298,0.00418030625634458,0.115529857276371,0.0025744456607697,0.144268796585735
"FV_blue",0.00552869848493742,0.00711060356307769,0.0134634377422458,0.0153252063383604,0.000103860612725271,0.0044813596074107,0,0.00823623744381052,0.0132944694069437,0.00866166586375527,0.120011216883782,0.00705580526818039,0.148750156193145
"FV_green",0.0137649359287479,0.00112563388073283,0.00522720029843526,0.023561443782171,0.00834009805653579,0.00375487783639983,0.00823623744381052,0,0.00505823196313315,0.000425428419944751,0.111774979439971,0.00118043217563013,0.140513918749335
"FV_red",0.0188231678918811,0.00618386584386599,0.000168968335302111,0.0286196757453041,0.0133983300196689,0.00881310979953298,0.0132944694069437,0.00505823196313315,0,0.0046328035431884,0.106716747476838,0.00623866413876328,0.135455686786202
"int_blue",0.0141903643486927,0.00155106230067759,0.00480177187849051,0.0239868722021157,0.00876552647648055,0.00418030625634458,0.00866166586375527,0.000425428419944751,0.0046328035431884,0,0.111349551020027,0.00160586059557488,0.14008849032939
"int_green",0.125539915368719,0.112900613320704,0.106547779141536,0.135336423222142,0.120115077496507,0.115529857276371,0.120011216883782,0.111774979439971,0.106716747476838,0.111349551020027,0,0.112955411615602,0.0287389393093633
"int_red",0.0125845037531178,5.47982948972958e-05,0.00640763247406539,0.0223810116065408,0.00715966588090566,0.0025744456607697,0.00705580526818039,0.00118043217563013,0.00623866413876328,0.00160586059557488,0.112955411615602,0,0.141694350924965
"int_white",0.154278854678083,0.141639552630068,0.135286718450899,0.164075362531506,0.148854016805871,0.144268796585735,0.148750156193145,0.140513918749335,0.135455686786202,0.14008849032939,0.0287389393093633,0.141694350924965,0
