"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00832275847895403,0.00839733836420464,0.0145450651078676,0.00825080634446351,0.00788756981012284,0.00259555194450911,0.0266857808313716,0.0304464022800914,0.0160757828934806,0.0883694507101609,0.0446475136001254,0.0967919910611812
"conf_green",0.00832275847895403,0,7.45798852506141e-05,0.0228678235868216,0.0165735648234175,0.0162103282890769,0.00572720653444492,0.0183630223524176,0.0221236438011374,0.00775302441452652,0.0800466922312069,0.0363247551211714,0.0884692325822272
"conf_red",0.00839733836420464,7.45798852506141e-05,0,0.0229424034720722,0.0166481447086682,0.0162849081743275,0.00580178641969553,0.018288442467167,0.0220490639158868,0.00767844452927591,0.0799721123459562,0.0362501752359208,0.0883946526969766
"fusion_blue",0.0145450651078676,0.0228678235868216,0.0229424034720722,0,0.00629425876340406,0.00665749529774473,0.0171406170523767,0.0412308459392392,0.044991467387959,0.0306208480013481,0.102914515818028,0.059192578707993,0.111337056169049
"fusion_green",0.00825080634446351,0.0165735648234175,0.0166481447086682,0.00629425876340406,0,0.000363236534340672,0.0108463582889726,0.0349365871758351,0.0386972086245549,0.0243265892379441,0.0966202570546244,0.0528983199445889,0.105042797405645
"fusion_red",0.00788756981012284,0.0162103282890769,0.0162849081743275,0.00665749529774473,0.000363236534340672,0,0.010483121754632,0.0345733506414945,0.0383339720902143,0.0239633527036034,0.0962570205202837,0.0525350834102483,0.104679560871304
"FV_blue",0.00259555194450911,0.00572720653444492,0.00580178641969553,0.0171406170523767,0.0108463582889726,0.010483121754632,0,0.0240902288868625,0.0278508503355823,0.0134802309489714,0.0857738987656518,0.0420519616556163,0.0941964391166721
"FV_green",0.0266857808313716,0.0183630223524176,0.018288442467167,0.0412308459392392,0.0349365871758351,0.0345733506414945,0.0240902288868625,0,0.0037606214487198,0.0106099979378911,0.0616836698787893,0.0179617327687538,0.0701062102298096
"FV_red",0.0304464022800914,0.0221236438011374,0.0220490639158868,0.044991467387959,0.0386972086245549,0.0383339720902143,0.0278508503355823,0.0037606214487198,0,0.0143706193866109,0.0579230484300695,0.014201111320034,0.0663455887810898
"int_blue",0.0160757828934806,0.00775302441452652,0.00767844452927591,0.0306208480013481,0.0243265892379441,0.0239633527036034,0.0134802309489714,0.0106099979378911,0.0143706193866109,0,0.0722936678166803,0.0285717307066449,0.0807162081677006
"int_green",0.0883694507101609,0.0800466922312069,0.0799721123459562,0.102914515818028,0.0966202570546244,0.0962570205202837,0.0857738987656518,0.0616836698787893,0.0579230484300695,0.0722936678166803,0,0.0437219371100355,0.0084225403510203
"int_red",0.0446475136001254,0.0363247551211714,0.0362501752359208,0.059192578707993,0.0528983199445889,0.0525350834102483,0.0420519616556163,0.0179617327687538,0.014201111320034,0.0285717307066449,0.0437219371100355,0,0.0521444774610558
"int_white",0.0967919910611812,0.0884692325822272,0.0883946526969766,0.111337056169049,0.105042797405645,0.104679560871304,0.0941964391166721,0.0701062102298096,0.0663455887810898,0.0807162081677006,0.0084225403510203,0.0521444774610558,0
