"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00378374538307469,0.00828964414348832,0.0306288923812588,0.0288588768499665,0.030954178264949,0.00156742692645651,0.0355988388929234,0.0336225954350056,0.00137205680994157,0.0720960503638253,0.0304329309015969,0.0727902365252504
"conf_green",0.00378374538307469,0,0.00450589876041363,0.0268451469981841,0.0250751314668918,0.0271704328818743,0.00221631845661818,0.0393825842759981,0.0374063408180803,0.00241168857313312,0.0758797957469,0.0342166762846716,0.0765739819083251
"conf_red",0.00828964414348832,0.00450589876041363,0,0.0223392482377704,0.0205692327064781,0.0226645341214606,0.00672221721703181,0.0438884830364117,0.0419122395784939,0.00691758733354675,0.0803856945073136,0.0387225750450853,0.0810798806687387
"fusion_blue",0.0306288923812588,0.0268451469981841,0.0223392482377704,0,0.0017700155312923,0.000325285883690185,0.0290614654548023,0.0662277312741821,0.0642514878162643,0.0292568355713172,0.102724942745084,0.0610618232828557,0.103419128906509
"fusion_green",0.0288588768499665,0.0250751314668918,0.0205692327064781,0.0017700155312923,0,0.00209530141498249,0.02729144992351,0.0644577157428898,0.062481472284972,0.0274868200400249,0.100954927213792,0.0592918077515634,0.101649113375217
"fusion_red",0.030954178264949,0.0271704328818743,0.0226645341214606,0.000325285883690185,0.00209530141498249,0,0.0293867513384924,0.0665530171578723,0.0645767736999545,0.0295821214550074,0.103050228628774,0.0613871091665459,0.103744414790199
"FV_blue",0.00156742692645651,0.00221631845661818,0.00672221721703181,0.0290614654548023,0.02729144992351,0.0293867513384924,0,0.0371662658193799,0.0351900223614621,0.000195370116514937,0.0736634772902818,0.0320003578280534,0.0743576634517069
"FV_green",0.0355988388929234,0.0393825842759981,0.0438884830364117,0.0662277312741821,0.0644577157428898,0.0665530171578723,0.0371662658193799,0,0.0019762434579178,0.0369708957028649,0.0364972114709019,0.00516590799132643,0.037191397632327
"FV_red",0.0336225954350056,0.0374063408180803,0.0419122395784939,0.0642514878162643,0.062481472284972,0.0645767736999545,0.0351900223614621,0.0019762434579178,0,0.0349946522449471,0.0384734549288197,0.00318966453340863,0.0391676410902448
"int_blue",0.00137205680994157,0.00241168857313312,0.00691758733354675,0.0292568355713172,0.0274868200400249,0.0295821214550074,0.000195370116514937,0.0369708957028649,0.0349946522449471,0,0.0734681071737668,0.0318049877115385,0.074162293335192
"int_green",0.0720960503638253,0.0758797957469,0.0803856945073136,0.102724942745084,0.100954927213792,0.103050228628774,0.0736634772902818,0.0364972114709019,0.0384734549288197,0.0734681071737668,0,0.0416631194622283,0.000694186161425137
"int_red",0.0304329309015969,0.0342166762846716,0.0387225750450853,0.0610618232828557,0.0592918077515634,0.0613871091665459,0.0320003578280534,0.00516590799132643,0.00318966453340863,0.0318049877115385,0.0416631194622283,0,0.0423573056236535
"int_white",0.0727902365252504,0.0765739819083251,0.0810798806687387,0.103419128906509,0.101649113375217,0.103744414790199,0.0743576634517069,0.037191397632327,0.0391676410902448,0.074162293335192,0.000694186161425137,0.0423573056236535,0
