"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_blue_5x5.mnt",0.02677347953,77.0723807951072,-77.0456073155772,0.000347380984650985,-99.9652619015349,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0456073155772,99.9652619015349,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_green_5x5.mnt",0.02810594044,77.0723807951072,-77.0442748546672,0.000364669420485636,-99.9635330579514,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0442748546672,99.9635330579514,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_conf_red_5x5.mnt",0.02891478113,77.0723807951072,-77.0434660139772,0.000375163980036745,-99.9624836019963,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0434660139772,99.9624836019963,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_blue_5x5.mnt",0.02292385704,77.0723807951072,-77.0494569380672,0.000297432839150796,-99.9702567160849,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0494569380672,99.9702567160849,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_green_5x5.mnt",0.02396868998,77.0723807951072,-77.0484121051272,0.000310989354847095,-99.9689010645153,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0484121051272,99.9689010645153,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_fusion_red_5x5.mnt",0.02500120283,77.0723807951072,-77.0473795922772,0.000324386019636066,-99.9675613980364,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0473795922772,99.9675613980364,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_blue_5x5.mnt",0.0513392132,77.0723807951072,-77.0210415819072,0.000666116871833538,-99.9333883128167,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0210415819072,99.9333883128167,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_green_5x5.mnt",0.05467160264,77.0723807951072,-77.0177091924672,0.000709354013409052,-99.9290645986591,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0177091924672,99.9290645986591,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_FV_red_5x5.mnt",0.05566811784,77.0723807951072,-77.0167126772672,0.000722283615293924,-99.9277716384706,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0167126772672,99.9277716384706,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_blue_5x5.mnt",0.04031751962,77.0723807951072,-77.0320632754871,0.000523112419832754,-99.9476887580167,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0320632754871,99.9476887580167,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_green_5x5.mnt",0.05321467556,77.0723807951072,-77.0191661195472,0.000690450651855019,-99.9309549348145,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0191661195472,99.9309549348145,"int","green","int_green"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_red_5x5.mnt",0.0466236648,77.0723807951072,-77.0257571303072,0.000604933496526422,-99.9395066503474,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0257571303072,99.9395066503474,"int","red","int_red"
"P3_Ti6Al4V\Ti_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GLA_x10_int_white_5x5.mnt",0.05459129629,77.0723807951072,-77.0177894988172,0.000708312053251969,-99.9291687946748,"Ti6Al4V_GLA.xlsx","Ti6Al4V_GLA.xlsx",20,3.58105734901747,0.800748766372826,77.0177894988172,99.9291687946748,"int","white","int_white"
