"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00172884358346437,0.00277829953857633,0.00499481455001671,0.00363916298039157,0.00229949650149308,0.0318735887182413,0.0361973028758058,0.0374902630642993,0.0175731435181916,0.0343069667203935,0.0257552511875332,0.0360931068600934
"conf_green",0.00172884358346437,0,0.00104945595511197,0.00672365813348108,0.00536800656385594,0.00402834008495745,0.0301447451347769,0.0344684592923414,0.0357614194808349,0.0158442999347272,0.0325781231369291,0.0240264076040688,0.034364263276629
"conf_red",0.00277829953857633,0.00104945595511197,0,0.00777311408859305,0.00641746251896791,0.00507779604006942,0.029095289179665,0.0334190033372295,0.0347119635257229,0.0147948439796153,0.0315286671818171,0.0229769516489569,0.033314807321517
"fusion_blue",0.00499481455001671,0.00672365813348108,0.00777311408859305,0,0.00135565156962514,0.00269531804852363,0.036868403268258,0.0411921174258225,0.042485077614316,0.0225679580682083,0.0393017812704102,0.0307500657375499,0.0410879214101101
"fusion_green",0.00363916298039157,0.00536800656385594,0.00641746251896791,0.00135565156962514,0,0.00133966647889849,0.0355127516986329,0.0398364658561974,0.0411294260446908,0.0212123064985832,0.037946129700785,0.0293944141679248,0.0397322698404849
"fusion_red",0.00229949650149308,0.00402834008495745,0.00507779604006942,0.00269531804852363,0.00133966647889849,0,0.0341730852197344,0.0384967993772989,0.0397897595657923,0.0198726400196847,0.0366064632218865,0.0280547476890263,0.0383926033615865
"FV_blue",0.0318735887182413,0.0301447451347769,0.029095289179665,0.036868403268258,0.0355127516986329,0.0341730852197344,0,0.0043237141575645,0.00561667434605795,0.0143004452000497,0.00243337800215215,0.00611833753070812,0.00421951814185206
"FV_green",0.0361973028758058,0.0344684592923414,0.0334190033372295,0.0411921174258225,0.0398364658561974,0.0384967993772989,0.0043237141575645,0,0.00129296018849345,0.0186241593576142,0.00189033615541234,0.0104420516882726,0.000104196015712432
"FV_red",0.0374902630642993,0.0357614194808349,0.0347119635257229,0.042485077614316,0.0411294260446908,0.0397897595657923,0.00561667434605795,0.00129296018849345,0,0.0199171195461076,0.00318329634390579,0.0117350118767661,0.00139715620420588
"int_blue",0.0175731435181916,0.0158442999347272,0.0147948439796153,0.0225679580682083,0.0212123064985832,0.0198726400196847,0.0143004452000497,0.0186241593576142,0.0199171195461076,0,0.0167338232022018,0.00818210766934158,0.0185199633419018
"int_green",0.0343069667203935,0.0325781231369291,0.0315286671818171,0.0393017812704102,0.037946129700785,0.0366064632218865,0.00243337800215215,0.00189033615541234,0.00318329634390579,0.0167338232022018,0,0.00855171553286027,0.00178614013969991
"int_red",0.0257552511875332,0.0240264076040688,0.0229769516489569,0.0307500657375499,0.0293944141679248,0.0280547476890263,0.00611833753070812,0.0104420516882726,0.0117350118767661,0.00818210766934158,0.00855171553286027,0,0.0103378556725602
"int_white",0.0360931068600934,0.034364263276629,0.033314807321517,0.0410879214101101,0.0397322698404849,0.0383926033615865,0.00421951814185206,0.000104196015712432,0.00139715620420588,0.0185199633419018,0.00178614013969991,0.0103378556725602,0
