"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_blue_5x5.mnt",0.03884406455,232.897104688428,-232.858260623878,0.000166786378052943,-99.9833213621947,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.858260623878,99.9833213621947,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_green_5x5.mnt",0.03738126117,232.897104688428,-232.859723427258,0.000160505478245464,-99.9839494521755,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.859723427258,99.9839494521755,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_conf_red_5x5.mnt",0.03642200655,232.897104688428,-232.860682681878,0.000156386686724705,-99.9843613313275,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.860682681878,99.9843613313275,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_blue_5x5.mnt",0.02921617496,232.897104688428,-232.867888513468,0.000125446707459441,-99.9874553292541,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.867888513468,99.9874553292541,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_green_5x5.mnt",0.0275873644,232.897104688428,-232.869517324028,0.000118453015707974,-99.9881546984292,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.869517324028,99.9881546984292,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_fusion_red_5x5.mnt",0.02698421318,232.897104688428,-232.870120475248,0.000115863240189695,-99.988413675981,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.870120475248,99.988413675981,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_blue_5x5.mnt",0.06452168664,232.897104688428,-232.832583001788,0.000277039453651937,-99.9722960546348,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.832583001788,99.9722960546348,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_green_5x5.mnt",0.06998451564,232.897104688428,-232.827120172788,0.000300495430089721,-99.969950456991,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.827120172788,99.969950456991,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_FV_red_5x5.mnt",0.06242009848,232.897104688428,-232.834684589948,0.00026801577702525,-99.9731984222975,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.834684589948,99.9731984222975,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_blue_5x5.mnt",0.06546599,232.897104688428,-232.831638698428,0.000281094048324821,-99.9718905951675,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.831638698428,99.9718905951675,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_green_5x5.mnt",0.07308889206,232.897104688428,-232.824015796368,0.000313824820440679,-99.9686175179559,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.824015796368,99.9686175179559,"int","green","int_green"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_red_5x5.mnt",0.06059753422,232.897104688428,-232.836507154208,0.000260190156941057,-99.9739809843059,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.836507154208,99.9739809843059,"int","red","int_red"
"P3_Ti6Al4V\Ti_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_GRI_x10_int_white_5x5.mnt",0.07379811625,232.897104688428,-232.823306572178,0.000316870045888839,-99.9683129954111,"Ti6Al4V_GRI.xlsx","Ti6Al4V_GRI.xlsx",20,22.1295349879934,4.94831445436131,232.823306572178,99.9683129954111,"int","white","int_white"
