"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_conf_blue_5x5.mnt",0.0210780995,39.910480803772,-39.889402704272,0.000528134441768185,-99.9471865558232,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.889402704272,99.9471865558232,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_conf_green_5x5.mnt",0.01900906793,39.910480803772,-39.891471735842,0.000476292631588729,-99.9523707368411,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.891471735842,99.9523707368411,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_conf_red_5x5.mnt",0.01912090761,39.910480803772,-39.891359896162,0.000479094894997929,-99.9520905105002,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.891359896162,99.9520905105002,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_fusion_blue_5x5.mnt",0.01726059605,39.910480803772,-39.893220207722,0.000432482789041436,-99.9567517210959,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.893220207722,99.9567517210959,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_fusion_green_5x5.mnt",0.01522780563,39.910480803772,-39.895252998142,0.000381549039834188,-99.9618450960166,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.895252998142,99.9618450960166,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_fusion_red_5x5.mnt",0.01518345416,39.910480803772,-39.895297349612,0.000380437766075847,-99.9619562233924,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.895297349612,99.9619562233924,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_FV_blue_5x5.mnt",0.04921009799,39.910480803772,-39.861270705782,0.00123301190561826,-99.8766988094382,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.861270705782,99.8766988094382,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_FV_green_5x5.mnt",0.04952411346,39.910480803772,-39.860956690312,0.00124087990078334,-99.8759120099217,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.860956690312,99.8759120099217,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_FV_red_5x5.mnt",0.04910417804,39.910480803772,-39.861376625732,0.00123035796740788,-99.8769642032592,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.861376625732,99.8769642032592,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_int_blue_5x5.mnt",0.04583409526,39.910480803772,-39.864646708512,0.00114842252804101,-99.8851577471959,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.864646708512,99.8851577471959,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_int_green_5x5.mnt",0.03380974725,39.910480803772,-39.876671056522,0.000847139562568351,-99.9152860437432,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.876671056522,99.9152860437432,"int","green","int_green"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_int_red_5x5.mnt",0.03331572557,39.910480803772,-39.877165078202,0.000834761318306425,-99.9165238681694,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.877165078202,99.9165238681694,"int","red","int_red"
"P3_Ti6Al4V\Ti_HON\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_HON_x10_int_white_5x5.mnt",0.03349386518,39.910480803772,-39.876986938592,0.000839224797733693,-99.9160775202266,"Ti6Al4V_HON.xlsx","Ti6Al4V_HON.xlsx",20,2.94300888348307,0.65807679218539,39.876986938592,99.9160775202266,"int","white","int_white"
