"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.00518418101795248,0.00490395467701887,0.00956516527267581,0.014658540193409,0.0147696675692259,0.0704877463850124,0.0712745459015167,0.0702223525639596,0.0620288086272751,0.0319005120800142,0.0306626876538161,0.0311090355965433
"conf_green",0.00518418101795248,0,0.000280226340933609,0.00438098425472333,0.00947435917545647,0.00958548655127345,0.0756719274029649,0.0764587269194692,0.0754065335819121,0.0672129896452276,0.0370846930979667,0.0358468686717686,0.0362932166144958
"conf_red",0.00490395467701887,0.000280226340933609,0,0.00466121059565694,0.00975458551639008,0.00986571289220706,0.0753917010620313,0.0761785005785356,0.0751263072409785,0.066932763304294,0.0368044667570331,0.035566642330835,0.0360129902735622
"fusion_blue",0.00956516527267581,0.00438098425472333,0.00466121059565694,0,0.00509337492073314,0.00520450229655012,0.0800529116576882,0.0808397111741925,0.0797875178366354,0.0715939738999509,0.04146567735269,0.0402278529264919,0.0406742008692191
"fusion_green",0.014658540193409,0.00947435917545647,0.00975458551639008,0.00509337492073314,0,0.000111127375816977,0.0851462865784214,0.0859330860949257,0.0848808927573685,0.0766873488206841,0.0465590522734232,0.045321227847225,0.0457675757899523
"fusion_red",0.0147696675692259,0.00958548655127345,0.00986571289220706,0.00520450229655012,0.000111127375816977,0,0.0852574139542384,0.0860442134707426,0.0849920201331855,0.076798476196501,0.0466701796492401,0.045432355223042,0.0458787031657693
"FV_blue",0.0704877463850124,0.0756719274029649,0.0753917010620313,0.0800529116576882,0.0851462865784214,0.0852574139542384,0,0.000786799516504288,0.000265393821052839,0.00845893775773732,0.0385872343049982,0.0398250587311963,0.0393787107884691
"FV_green",0.0712745459015167,0.0764587269194692,0.0761785005785356,0.0808397111741925,0.0859330860949257,0.0860442134707426,0.000786799516504288,0,0.00105219333755713,0.00924573727424161,0.0393740338215025,0.0406118582477006,0.0401655103049734
"FV_red",0.0702223525639596,0.0754065335819121,0.0751263072409785,0.0797875178366354,0.0848808927573685,0.0849920201331855,0.000265393821052839,0.00105219333755713,0,0.00819354393668448,0.0383218404839454,0.0395596649101435,0.0391133169674163
"int_blue",0.0620288086272751,0.0672129896452276,0.066932763304294,0.0715939738999509,0.0766873488206841,0.076798476196501,0.00845893775773732,0.00924573727424161,0.00819354393668448,0,0.0301282965472609,0.031366120973459,0.0309197730307318
"int_green",0.0319005120800142,0.0370846930979667,0.0368044667570331,0.04146567735269,0.0465590522734232,0.0466701796492401,0.0385872343049982,0.0393740338215025,0.0383218404839454,0.0301282965472609,0,0.00123782442619813,0.000791476483470888
"int_red",0.0306626876538161,0.0358468686717686,0.035566642330835,0.0402278529264919,0.045321227847225,0.045432355223042,0.0398250587311963,0.0406118582477006,0.0395596649101435,0.031366120973459,0.00123782442619813,0,0.000446347942727243
"int_white",0.0311090355965433,0.0362932166144958,0.0360129902735622,0.0406742008692191,0.0457675757899523,0.0458787031657693,0.0393787107884691,0.0401655103049734,0.0391133169674163,0.0309197730307318,0.000791476483470888,0.000446347942727243,0
