"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_conf_blue_5x5.mnt",0.1477479839,198.03861271287,-197.89086472897,0.000746056447659605,-99.925394355234,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.89086472897,99.925394355234,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_conf_green_5x5.mnt",0.1589140375,198.03861271287,-197.87969867537,0.000802439662261241,-99.9197560337739,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.87969867537,99.9197560337739,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_conf_red_5x5.mnt",0.169426117,198.03861271287,-197.86918659587,0.000855520621352998,-99.9144479378647,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.86918659587,99.9144479378647,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_fusion_blue_5x5.mnt",0.1155753283,198.03861271287,-197.92303738457,0.000583599969302801,-99.9416400030697,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.92303738457,99.9416400030697,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_fusion_green_5x5.mnt",0.126182566,198.03861271287,-197.91243014687,0.000637161431659534,-99.9362838568341,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.91243014687,99.9362838568341,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_fusion_red_5x5.mnt",0.1359314067,198.03861271287,-197.90268130617,0.000686388400917971,-99.9313611599082,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.90268130617,99.9313611599082,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_FV_blue_5x5.mnt",0.1793482005,198.03861271287,-197.85926451237,0.00090562238365117,-99.9094377616349,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.85926451237,99.9094377616349,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_FV_green_5x5.mnt",0.2361845173,198.03861271287,-197.80242819557,0.00119261852052275,-99.8807381479477,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.80242819557,99.8807381479477,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_FV_red_5x5.mnt",0.244619714,198.03861271287,-197.79399299887,0.00123521221770356,-99.8764787782296,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.79399299887,99.8764787782296,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_blue_5x5.mnt",0.1022666498,198.03861271287,-197.93634606307,0.000516397526720071,-99.948360247328,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.93634606307,99.948360247328,"int","blue","int_blue"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_green_5x5.mnt",0.2637465382,198.03861271287,-197.77486617467,0.00133179350525141,-99.8668206494749,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.77486617467,99.8668206494749,"int","green","int_green"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_red_5x5.mnt",0.1763087686,198.03861271287,-197.86230394427,0.000890274710496103,-99.9109725289504,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.86230394427,99.9109725289504,"int","red","int_red"
"P3_Ti6Al4V\Ti_TR\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_TR_x10_int_white_5x5.mnt",0.3102457004,198.03861271287,-197.72836701247,0.00156659196986911,-99.8433408030131,"Ti6Al4V_TR.xlsx","Ti6Al4V_TR.xlsx",20,0.501952409203523,0.112239970844887,197.72836701247,99.8433408030131,"int","white","int_white"
