"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_blue_5x5.mnt",0.02161908934,36.3756456576333,-36.3540265682933,0.000594328676485315,-99.9405671323515,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3540265682933,99.9405671323515,"conf","blue","conf_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_green_5x5.mnt",0.02108150595,36.3756456576333,-36.3545641516833,0.000579550013996139,-99.9420449986004,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3545641516833,99.9420449986004,"conf","green","conf_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_conf_red_5x5.mnt",0.02133009276,36.3756456576333,-36.3543155648733,0.000586383894343988,-99.9413616105656,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3543155648733,99.9413616105656,"conf","red","conf_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_blue_5x5.mnt",0.01854982507,36.3756456576333,-36.3570958325633,0.000509951775003267,-99.9490048224997,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3570958325633,99.9490048224997,"fusion","blue","fusion_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_green_5x5.mnt",0.01813164989,36.3756456576333,-36.3575140077433,0.000498455754178349,-99.9501544245822,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3575140077433,99.9501544245822,"fusion","green","fusion_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_fusion_red_5x5.mnt",0.01843236341,36.3756456576333,-36.3572132942233,0.000506722645791224,-99.9493277354209,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3572132942233,99.9493277354209,"fusion","red","fusion_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_blue_5x5.mnt",0.04727654746,36.3756456576333,-36.3283691101733,0.00129967582994858,-99.8700324170051,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3283691101733,99.8700324170051,"FV","blue","FV_blue"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_green_5x5.mnt",0.04781314157,36.3756456576333,-36.3278325160633,0.00131442729621946,-99.868557270378,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3278325160633,99.868557270378,"FV","green","FV_green"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_FV_red_5x5.mnt",0.0473670293,36.3756456576333,-36.3282786283333,0.00130216325906122,-99.8697836740939,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3282786283333,99.8697836740939,"FV","red","FV_red"
"P3_Ti6Al4V\Ti_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- Ti6Al4V_WEDM_F_x10_int_blue_5x5.mnt",0.03515389196,36.3756456576333,-36.3404917656733,0.000966412865653783,-99.9033587134346,"Ti6Al4V_WEDM_F.xlsx","Ti6Al4V_WEDM_F.xlsx",20,1.13610081922732,0.25403986610855,36.3404917656733,99.9033587134346,"int","blue","int_blue"
