"","conf_blue","conf_green","conf_red","fusion_blue","fusion_green","fusion_red","FV_blue","FV_green","FV_red","int_blue","int_green","int_red","int_white"
"conf_blue",0,0.001477866248905,0.000794478214118044,0.00843769014821305,0.00958729223067678,0.00876060306940474,0.0705347153463407,0.0720098619734273,0.0707834582575941,0.0372084189168476,0.0281387244541094,0.02991524948429,0.0273135687089052
"conf_green",0.001477866248905,0,0.000683388034786958,0.00695982389930805,0.00810942598177178,0.00728273682049974,0.0720125815952457,0.0734877282223323,0.0722613245064991,0.0386862851657526,0.0296165907030144,0.031393115733195,0.0287914349578102
"conf_red",0.000794478214118044,0.000683388034786958,0,0.00764321193409501,0.00879281401655874,0.00796612485528669,0.0713291935604587,0.0728043401875453,0.0715779364717122,0.0380028971309656,0.0289332026682274,0.0307097276984081,0.0281080469230233
"fusion_blue",0.00843769014821305,0.00695982389930805,0.00764321193409501,0,0.00114960208246373,0.000322912921191687,0.0789724054945538,0.0804475521216403,0.0792211484058072,0.0456461090650606,0.0365764146023224,0.0383529396325031,0.0357512588571183
"fusion_green",0.00958729223067678,0.00810942598177178,0.00879281401655874,0.00114960208246373,0,0.000826689161272043,0.0801220075770175,0.0815971542041041,0.0803707504882709,0.0467957111475243,0.0377260166847861,0.0395025417149668,0.036900860939582
"fusion_red",0.00876060306940474,0.00728273682049974,0.00796612485528669,0.000322912921191687,0.000826689161272043,0,0.0792953184157454,0.080770465042832,0.0795440613269989,0.0459690219862523,0.0368993275235141,0.0386758525536948,0.03607417177831
"FV_blue",0.0705347153463407,0.0720125815952457,0.0713291935604587,0.0789724054945538,0.0801220075770175,0.0792953184157454,0,0.00147514662708659,0.00024874291125343,0.0333262964294931,0.0423959908922313,0.0406194658620507,0.0432211466374355
"FV_green",0.0720098619734273,0.0734877282223323,0.0728043401875453,0.0804475521216403,0.0815971542041041,0.080770465042832,0.00147514662708659,0,0.00122640371583316,0.0348014430565797,0.0438711375193179,0.0420946124891373,0.0446962932645221
"FV_red",0.0707834582575941,0.0722613245064991,0.0715779364717122,0.0792211484058072,0.0803707504882709,0.0795440613269989,0.00024874291125343,0.00122640371583316,0,0.0335750393407466,0.0426447338034848,0.0408682087733041,0.0434698895486889
"int_blue",0.0372084189168476,0.0386862851657526,0.0380028971309656,0.0456461090650606,0.0467957111475243,0.0459690219862523,0.0333262964294931,0.0348014430565797,0.0335750393407466,0,0.0090696944627382,0.00729316943255753,0.00989485020794234
"int_green",0.0281387244541094,0.0296165907030144,0.0289332026682274,0.0365764146023224,0.0377260166847861,0.0368993275235141,0.0423959908922313,0.0438711375193179,0.0426447338034848,0.0090696944627382,0,0.00177652503018066,0.000825155745204142
"int_red",0.02991524948429,0.031393115733195,0.0307097276984081,0.0383529396325031,0.0395025417149668,0.0386758525536948,0.0406194658620507,0.0420946124891373,0.0408682087733041,0.00729316943255753,0.00177652503018066,0,0.00260168077538481
"int_white",0.0273135687089052,0.0287914349578102,0.0281080469230233,0.0357512588571183,0.036900860939582,0.03607417177831,0.0432211466374355,0.0446962932645221,0.0434698895486889,0.00989485020794234,0.000825155745204142,0.00260168077538481,0
