"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_conf_blue_5x5.mnt",6.843418526,7.07346049556389,-0.230041969563891,0.967478157302474,-3.25218426975257,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,0.230041969563891,3.25218426975257,"conf","blue","conf_blue"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_conf_green_5x5.mnt",6.955030653,7.07346049556389,-0.118429842563891,0.983257156431684,-1.67428435683163,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,0.118429842563891,1.67428435683163,"conf","green","conf_green"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_conf_red_5x5.mnt",7.458749505,7.07346049556389,0.385289009436109,1.05446966299985,5.44696629998488,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,0.385289009436109,5.44696629998488,"conf","red","conf_red"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_fusion_blue_5x5.mnt",9.755679784,7.07346049556389,2.68221928843611,1.37919477886648,37.9194778866477,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,2.68221928843611,37.9194778866477,"fusion","blue","fusion_blue"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_fusion_green_5x5.mnt",8.607637274,7.07346049556389,1.53417677843611,1.21689196955271,21.6891969552706,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,1.53417677843611,21.6891969552706,"fusion","green","fusion_green"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_fusion_red_5x5.mnt",9.066093474,7.07346049556389,1.99263297843611,1.28170553573965,28.1705535739655,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,1.99263297843611,28.1705535739655,"fusion","red","fusion_red"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_FV_blue_5x5.mnt",8.480331574,7.07346049556389,1.40687107843611,1.19889431478672,19.8894314786719,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,1.40687107843611,19.8894314786719,"FV","blue","FV_blue"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_FV_green_5x5.mnt",7.367816568,7.07346049556389,0.294356072436109,1.04161415372585,4.16141537258481,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,0.294356072436109,4.16141537258481,"FV","green","FV_green"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_FV_red_5x5.mnt",9.290894705,7.07346049556389,2.21743420943611,1.31348647678555,31.3486476785552,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,2.21743420943611,31.3486476785552,"FV","red","FV_red"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_int_blue_5x5.mnt",5.988724621,7.07346049556389,-1.08473587456389,0.846647072498082,-15.3352927501918,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,1.08473587456389,15.3352927501918,"int","blue","int_blue"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_int_green_5x5.mnt",6.320688079,7.07346049556389,-0.752772416563891,0.893577914652101,-10.6422085347899,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,0.752772416563891,10.6422085347899,"int","green","int_green"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_int_red_5x5.mnt",5.976720821,7.07346049556389,-1.09673967456389,0.844950053053706,-15.5049946946295,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,1.09673967456389,15.5049946946295,"int","red","int_red"
"P3_1_4301\AU_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_GRI_x10_int_white_5x5.mnt",6.380028821,7.07346049556389,-0.693431674563891,0.901967124153902,-9.80328758460976,"14301_GRI.xlsx","14301_GRI.xlsx",20,0.591113067943164,0.132176900230937,0.693431674563891,9.80328758460976,"int","white","int_white"
