"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_conf_blue_5x5.mnt",2.732145426,2.52015492472842,0.211990501271579,1.08411804337562,8.41180433756166,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.211990501271579,8.41180433756166,"conf","blue","conf_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_conf_green_5x5.mnt",3.264505168,2.52015492472842,0.744350243271579,1.29535892256774,29.5358922567743,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.744350243271579,29.5358922567743,"conf","green","conf_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_conf_red_5x5.mnt",3.819772189,2.52015492472842,1.29961726427158,1.51568943302628,51.5689433026277,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,1.29961726427158,51.5689433026277,"conf","red","conf_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_fusion_blue_5x5.mnt",3.1963526,2.52015492472842,0.676197675271579,1.26831591527828,26.8315915278283,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.676197675271579,26.8315915278283,"fusion","blue","fusion_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_fusion_green_5x5.mnt",4.081269895,2.52015492472842,1.56111497027158,1.61945198485756,61.9451984857562,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,1.56111497027158,61.9451984857562,"fusion","green","fusion_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_fusion_red_5x5.mnt",4.752953026,2.52015492472842,2.23279810127158,1.8859765244441,88.5976524444104,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,2.23279810127158,88.5976524444104,"fusion","red","fusion_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_FV_blue_5x5.mnt",3.789767505,2.52015492472842,1.26961258027158,1.50378354434238,50.3783544342376,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,1.26961258027158,50.3783544342376,"FV","blue","FV_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_FV_green_5x5.mnt",2.3459554,2.52015492472842,-0.174199524728421,0.930877453993352,-6.91225460066482,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.174199524728421,6.91225460066482,"FV","green","FV_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_FV_red_5x5.mnt",2.562223295,2.52015492472842,0.0420683702715787,1.0166927714875,1.66927714874958,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.0420683702715787,1.66927714874958,"FV","red","FV_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_blue_5x5.mnt",4.012190679,2.52015492472842,1.49203575427158,1.59204128271295,59.2041282712952,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,1.49203575427158,59.2041282712952,"int","blue","int_blue"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_green_5x5.mnt",1.606079,2.52015492472842,-0.914075924728421,0.637293756919756,-36.2706243080244,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.914075924728421,36.2706243080244,"int","green","int_green"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_red_5x5.mnt",2.486472737,2.52015492472842,-0.033682187728421,0.986634874150822,-1.3365125849178,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.033682187728421,1.3365125849178,"int","red","int_red"
"P3_1_4301\AU_MF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_MF_x10_int_white_5x5.mnt",1.544934547,2.52015492472842,-0.975220377728421,0.613031576686297,-38.6968423313703,"14301_MF.xlsx","14301_MF.xlsx",20,0.747022620988834,0.167039336126109,0.975220377728421,38.6968423313703,"int","white","int_white"
