"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_conf_blue_5x5.mnt",3.220098468,10.1078417272086,-6.88774325920861,0.318574286668146,-68.1425713331854,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.88774325920861,68.1425713331854,"conf","blue","conf_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_conf_green_5x5.mnt",3.341563042,10.1078417272086,-6.76627868520861,0.330591152115597,-66.9408847884403,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.76627868520861,66.9408847884403,"conf","green","conf_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_conf_red_5x5.mnt",3.485880163,10.1078417272086,-6.62196156420861,0.344868890617529,-65.5131109382471,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.62196156420861,65.5131109382471,"conf","red","conf_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_fusion_blue_5x5.mnt",3.5947224,10.1078417272086,-6.51311932720861,0.35563698928166,-64.436301071834,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.51311932720861,64.436301071834,"fusion","blue","fusion_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_fusion_green_5x5.mnt",3.749535016,10.1078417272086,-6.35830671120861,0.37095307951913,-62.904692048087,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.35830671120861,62.904692048087,"fusion","green","fusion_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_fusion_red_5x5.mnt",4.008909368,10.1078417272086,-6.09893235920861,0.396613785236535,-60.3386214763465,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.09893235920861,60.3386214763465,"fusion","red","fusion_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_FV_blue_5x5.mnt",8.426760642,10.1078417272086,-1.68108108520861,0.833685456244984,-16.6314543755016,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,1.68108108520861,16.6314543755016,"FV","blue","FV_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_FV_green_5x5.mnt",4.005352279,10.1078417272086,-6.10248944820861,0.396261871435745,-60.3738128564255,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.10248944820861,60.3738128564255,"FV","green","FV_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_FV_red_5x5.mnt",3.623220679,10.1078417272086,-6.48462104820861,0.358456412039664,-64.1543587960336,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.48462104820861,64.1543587960336,"FV","red","FV_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_blue_5x5.mnt",4.161473926,10.1078417272086,-5.94636780120861,0.41170746815297,-58.829253184703,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,5.94636780120861,58.829253184703,"int","blue","int_blue"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_green_5x5.mnt",2.668691447,10.1078417272086,-7.43915028020861,0.264021887067773,-73.5978112932226,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,7.43915028020861,73.5978112932226,"int","green","int_green"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_red_5x5.mnt",3.246022405,10.1078417272086,-6.86181932220861,0.321139021821271,-67.8860978178729,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,6.86181932220861,67.8860978178729,"int","red","int_red"
"P3_1_4301\AU_TF\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- 14301_TF_x10_int_white_5x5.mnt",2.672951005,10.1078417272086,-7.43489072220861,0.264443298296299,-73.5556701703701,"14301_TF.xlsx","14301_TF.xlsx",20,3.81591534537708,0.853264610864774,7.43489072220861,73.5556701703701,"int","white","int_white"
