"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_conf_green_5x5.mnt",1.7178143,0.915020048983479,0.802794251016521,1.87735154208737,87.7351542087375,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,0.802794251016521,87.7351542087375,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_conf_red_5x5.mnt",2.146141158,0.915020048983479,1.23112110901652,2.34545806989061,134.545806989061,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,1.23112110901652,134.545806989061,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_blue_5x5.mnt",1.975994848,0.915020048983479,1.06097479901652,2.15950989292004,115.950989292004,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,1.06097479901652,115.950989292004,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_green_5x5.mnt",2.175102737,0.915020048983479,1.26008268801652,2.37710937527148,137.710937527148,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,1.26008268801652,137.710937527148,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_fusion_red_5x5.mnt",2.734209847,0.915020048983479,1.81918979801652,2.98814200851392,198.814200851392,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,1.81918979801652,198.814200851392,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_blue_5x5.mnt",2.124028567,0.915020048983479,1.20900851801652,2.32129183328785,132.129183328785,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,1.20900851801652,132.129183328785,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_green_5x5.mnt",1.154251874,0.915020048983479,0.239231825016521,1.26144981771961,26.1449817719612,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,0.239231825016521,26.1449817719612,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_FV_red_5x5.mnt",1.384971653,0.915020048983479,0.469951604016521,1.51359705674056,51.3597056740563,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,0.469951604016521,51.3597056740563,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_blue_5x5.mnt",3.378855543,0.915020048983479,2.46383549401652,3.6926573868558,269.26573868558,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,2.46383549401652,269.26573868558,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_blue_5x5_pomiar2.mnt",3.403735895,0.915020048983479,2.48871584601652,3.71984843259042,271.984843259042,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,2.48871584601652,271.984843259042,"int","blue","int_blue"
"C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_green_5x5.mnt",0.5566852526,0.915020048983479,-0.358334796383479,0.608385852548736,-39.1614147451264,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,0.358334796383479,39.1614147451264,"int","green","int_green"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_red_5x5.mnt",1.0497309,0.915020048983479,0.134710851016521,1.1472217479455,14.7221747945496,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,0.134710851016521,14.7221747945496,"int","red","int_red"
"C45_5x5\C45_5x5\C45_B\C45_5x5 --- C45_B_x10_int_white_5x5.mnt",0.5353453,0.915020048983479,-0.379674748983479,0.585064010995966,-41.4935989004033,"C45_B.xlsx","C45_B.xlsx",20,0.207991131212978,0.0465082308109298,0.379674748983479,41.4935989004033,"int","white","int_white"
