"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_conf_blue_5x5.mnt",7.903410284,6.58890086495914,1.31450941904086,1.19950359642405,19.9503596424047,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,1.31450941904086,19.9503596424047,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_conf_green_5x5.mnt",9.183019158,6.58890086495914,2.59411829304087,1.39371032380178,39.3710323801776,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,2.59411829304087,39.3710323801776,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_conf_red_5x5.mnt",10.30974444,6.58890086495914,3.72084357504086,1.56471385004879,56.4713850048788,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,3.72084357504086,56.4713850048788,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_fusion_blue_5x5.mnt",10.2892881,6.58890086495914,3.70038723504087,1.5616091835165,56.1609183516501,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,3.70038723504087,56.1609183516501,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_fusion_green_5x5.mnt",12.02319229,6.58890086495914,5.43429142504087,1.82476448445921,82.476448445921,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,5.43429142504087,82.476448445921,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_fusion_red_5x5.mnt",14.74397143,6.58890086495914,8.15507056504087,2.23769817336468,123.769817336468,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,8.15507056504087,123.769817336468,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_FV_blue_5x5.mnt",6.5085541,6.58890086495914,-0.0803467649591356,0.987805740804747,-1.21942591952526,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,0.0803467649591356,1.21942591952526,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_FV_green_5x5.mnt",5.483569184,6.58890086495914,-1.10533168095913,0.832243388751306,-16.7756611248694,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,1.10533168095913,16.7756611248694,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_FV_red_5x5.mnt",6.744782474,6.58890086495914,0.155881609040865,1.02365821132169,2.36582113216893,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,0.155881609040865,2.36582113216893,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_blue_5x5.mnt",4.740310858,6.58890086495914,-1.84859000695914,0.719438788828916,-28.0561211171084,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,1.84859000695914,28.0561211171084,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_green_5x5.mnt",5.627063532,6.58890086495914,-0.961837332959135,0.854021580735211,-14.5978419264789,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,0.961837332959135,14.5978419264789,"int","green","int_green"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_red_5x5.mnt",4.915777263,6.58890086495914,-1.67312360195914,0.746069392111045,-25.3930607888955,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,1.67312360195914,25.3930607888955,"int","red","int_red"
"C45_5x5\C45_5x5\C45_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_GLA_x10_int_white_5x5.mnt",5.493582853,6.58890086495914,-1.09531801195913,0.83376316711878,-16.623683288122,"C45_GLA.xlsx","C45_GLA.xlsx",20,0.566712261340817,0.126720714004069,1.09531801195913,16.623683288122,"int","white","int_white"
