"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_conf_green_5x5.mnt",8.117053421,21.3532030266057,-13.2361496056057,0.380132826484453,-61.9867173515547,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,13.2361496056057,61.9867173515547,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_conf_red_5x5.mnt",8.686353053,21.3532030266057,-12.6668499736057,0.406793914813481,-59.3206085186519,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,12.6668499736057,59.3206085186519,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_fusion_blue_5x5.mnt",8.644379874,21.3532030266057,-12.7088231526057,0.404828252849433,-59.5171747150567,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,12.7088231526057,59.5171747150567,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_fusion_green_5x5.mnt",9.236277426,21.3532030266057,-12.1169256006057,0.432547632994065,-56.7452367005935,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,12.1169256006057,56.7452367005935,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_fusion_red_5x5.mnt",9.896130742,21.3532030266057,-11.4570722846057,0.463449475456661,-53.6550524543339,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,11.4570722846057,53.6550524543339,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_FV_blue_5x5.mnt",7.052115711,21.3532030266057,-14.3010873156057,0.330260322173362,-66.9739677826638,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,14.3010873156057,66.9739677826638,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_FV_green_5x5.mnt",6.508095553,21.3532030266057,-14.8451074736057,0.304783106538679,-69.5216893461321,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,14.8451074736057,69.5216893461321,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_FV_red_5x5.mnt",6.872057026,21.3532030266057,-14.4811460006057,0.321827925180009,-67.8172074819991,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,14.4811460006057,67.8172074819991,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_blue_5x5.mnt",7.788387053,21.3532030266057,-13.5648159736057,0.364740926375112,-63.5259073624888,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,13.5648159736057,63.5259073624888,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_green_5x5.mnt",7.005433242,21.3532030266057,-14.3477697846057,0.328074117652109,-67.1925882347891,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,14.3477697846057,67.1925882347891,"int","green","int_green"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_red_5x5.mnt",7.045804889,21.3532030266057,-14.3073981376057,0.32996477765987,-67.003522234013,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,14.3073981376057,67.003522234013,"int","red","int_red"
"C45_5x5\C45_5x5\C45_TF\C45_5x5 --- C45_TF_x10_int_white_5x5.mnt",6.999306779,21.3532030266057,-14.3538962476057,0.327787206925303,-67.2212793074697,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,14.3538962476057,67.2212793074697,"int","white","int_white"
NA,NA,21.3532030266057,NA,NA,NA,"C45_TF.xlsx","C45_TF.xlsx",20,1.78874896894327,0.39997642892398,NA,NA,"other","unknown","other_unknown"
