"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_conf_green_5x5.mnt",2.527185179,26.6473619107713,-24.1201767317713,0.094838100201524,-90.5161899798476,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,24.1201767317713,90.5161899798476,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_conf_red_5x5.mnt",2.797591116,26.6473619107713,-23.8497707947713,0.104985668951686,-89.5014331048314,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,23.8497707947713,89.5014331048314,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_blue_5x5.mnt",2.862923632,26.6473619107713,-23.7844382787713,0.107437413188837,-89.2562586811163,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,23.7844382787713,89.2562586811163,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_green_5x5.mnt",3.083564842,26.6473619107713,-23.5637970687713,0.115717452719159,-88.4282547280841,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,23.5637970687713,88.4282547280841,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_fusion_red_5x5.mnt",3.473816553,26.6473619107713,-23.1735453577713,0.130362493842058,-86.9637506157943,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,23.1735453577713,86.9637506157943,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_blue_5x5.mnt",2.834746305,26.6473619107713,-23.8126156057713,0.10637999793346,-89.362000206654,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,23.8126156057713,89.362000206654,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_green_5x5.mnt",1.962079579,26.6473619107713,-24.6852823317713,0.0736312879890335,-92.6368712010967,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,24.6852823317713,92.6368712010967,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_FV_red_5x5.mnt",2.0799507,26.6473619107713,-24.5674112107713,0.0780546572289114,-92.1945342771089,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,24.5674112107713,92.1945342771089,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_blue_5x5.mnt",2.615185068,26.6473619107713,-24.0321768427713,0.0981404867302419,-90.1859513269758,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,24.0321768427713,90.1859513269758,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_green_5x5.mnt",1.675735805,26.6473619107713,-24.9716261057713,0.0628856173684736,-93.7114382631526,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,24.9716261057713,93.7114382631526,"int","green","int_green"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_red_5x5.mnt",1.961497332,26.6473619107713,-24.6858645787713,0.0736094379086409,-92.6390562091359,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,24.6858645787713,92.6390562091359,"int","red","int_red"
"C45_5x5\C45_5x5\C45_TR\C45_5x5 --- C45_TR_x10_int_white_5x5.mnt",1.643978921,26.6473619107713,-25.0033829897713,0.0616938714798435,-93.8306128520156,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,25.0033829897713,93.8306128520156,"int","white","int_white"
NA,NA,26.6473619107713,NA,NA,NA,"C45_TR.xlsx","C45_TR.xlsx",20,3.25241166127956,0.727261356543411,NA,NA,"other","unknown","other_unknown"
