"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_conf_blue_5x5.mnt",10.42813158,5.36234793545038,5.06578364454962,1.94469506744608,94.4695067446076,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,5.06578364454962,94.4695067446076,"conf","blue","conf_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_conf_green_5x5.mnt",12.36855902,5.36234793545038,7.00621108454962,2.30655659962527,130.655659962527,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,7.00621108454962,130.655659962527,"conf","green","conf_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_conf_red_5x5.mnt",13.34260612,5.36234793545038,7.98025818454962,2.48820223540369,148.820223540369,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,7.98025818454962,148.820223540369,"conf","red","conf_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_fusion_blue_5x5.mnt",20.05501931,5.36234793545038,14.6926713745496,3.73996979521166,273.996979521165,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,14.6926713745496,273.996979521165,"fusion","blue","fusion_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_fusion_green_5x5.mnt",14.84680361,5.36234793545038,9.48445567454962,2.76871321829903,176.871321829903,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,9.48445567454962,176.871321829903,"fusion","green","fusion_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_fusion_red_5x5.mnt",15.51896942,5.36234793545038,10.1566214845496,2.89406237842278,189.406237842278,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,10.1566214845496,189.406237842278,"fusion","red","fusion_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_FV_blue_5x5.mnt",6.142306716,5.36234793545038,0.77995878054962,1.14545098340101,14.5450983401008,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,0.77995878054962,14.5450983401008,"FV","blue","FV_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_FV_green_5x5.mnt",5.494815679,5.36234793545038,0.13246774354962,1.02470331003214,2.47033100321369,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,0.13246774354962,2.47033100321369,"FV","green","FV_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_FV_red_5x5.mnt",6.822118042,5.36234793545038,1.45977010654962,1.27222592120498,27.2225921204983,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,1.45977010654962,27.2225921204983,"FV","red","FV_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_blue_5x5.mnt",3.457071079,5.36234793545038,-1.90527685645038,0.644693541078409,-35.5306458921591,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,1.90527685645038,35.5306458921591,"int","blue","int_blue"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_green_5x5.mnt",4.152892837,5.36234793545038,-1.20945509845038,0.774454191893313,-22.5545808106687,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,1.20945509845038,22.5545808106687,"int","green","int_green"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_red_5x5.mnt",3.823597779,5.36234793545038,-1.53875015645038,0.713045446701112,-28.6954553298888,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,1.53875015645038,28.6954553298888,"int","red","int_red"
"C45_5x5\C45_5x5\C45_WEDM_F\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- C45_WEDM_F_x10_int_white_5x5.mnt",4.147014658,5.36234793545038,-1.21533327745038,0.773357996892399,-22.6642003107601,"C45_WEDM_F.xlsx","C45_WEDM_F.xlsx",20,0.481879786602775,0.10775159598269,1.21533327745038,22.6642003107601,"int","white","int_white"
