"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_conf_blue_5x5.mnt",26.74997081,28.2361932219032,-1.48622241190323,0.94736463232762,-5.26353676723797,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,1.48622241190323,5.26353676723797,"conf","blue","conf_blue"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_conf_green_5x5.mnt",27.75720396,28.2361932219032,-0.478989261903234,0.983036337152854,-1.69636628471459,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,0.478989261903234,1.69636628471459,"conf","green","conf_green"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_conf_red_5x5.mnt",27.24937576,28.2361932219032,-0.986817461903232,0.965051327771134,-3.49486722288663,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,0.986817461903232,3.49486722288663,"conf","red","conf_red"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_fusion_blue_5x5.mnt",28.5589154,28.2361932219032,0.322722178096768,1.0114293798587,1.14293798586995,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,0.322722178096768,1.14293798586995,"fusion","blue","fusion_blue"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_fusion_green_5x5.mnt",27.97544994,28.2361932219032,-0.260743281903231,0.990765636151655,-0.923436384834514,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,0.260743281903231,0.923436384834514,"fusion","green","fusion_green"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_fusion_red_5x5.mnt",28.65364613,28.2361932219032,0.417452908096767,1.01478431971392,1.47843197139245,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,0.417452908096767,1.47843197139245,"fusion","red","fusion_red"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_FV_blue_5x5.mnt",26.19556262,28.2361932219032,-2.04063060190323,0.927729967497167,-7.22700325028334,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,2.04063060190323,7.22700325028334,"FV","blue","FV_blue"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_FV_green_5x5.mnt",25.82371419,28.2361932219032,-2.41247903190323,0.9145607549522,-8.54392450478004,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,2.41247903190323,8.54392450478004,"FV","green","FV_green"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_FV_red_5x5.mnt",25.70947313,28.2361932219032,-2.52672009190323,0.910514846245519,-8.94851537544806,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,2.52672009190323,8.94851537544806,"FV","red","FV_red"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_int_blue_5x5.mnt",26.43170725,28.2361932219032,-1.80448597190323,0.936093156831656,-6.39068431683442,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,1.80448597190323,6.39068431683442,"int","blue","int_blue"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_int_green_5x5.mnt",27.07343299,28.2361932219032,-1.16276023190323,0.958820219752525,-4.11797802474755,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,1.16276023190323,4.11797802474755,"int","green","int_green"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_int_red_5x5.mnt",26.97576378,28.2361932219032,-1.26042944190323,0.955361212044494,-4.46387879555059,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,1.26042944190323,4.46387879555059,"int","red","int_red"
"P3_ELLOR\ELLOR_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- ELLOR_GLA_x10_int_white_5x5.mnt",27.18643235,28.2361932219032,-1.04976087190323,0.962822152984528,-3.71778470154722,"ELLOR_GLA.xlsx","ELLOR_GLA.xlsx",20,5.51417538789006,1.23300710071785,1.04976087190323,3.71778470154722,"int","white","int_white"
