"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_conf_blue_5x5.mnt",11.2885849,8.35596846421858,2.93261643578142,1.35096068736249,35.0960687362488,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,2.93261643578142,35.0960687362488,"conf","blue","conf_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_conf_green_5x5.mnt",14.55215909,8.35596846421858,6.19619062578142,1.74152872312939,74.1528723129387,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,6.19619062578142,74.1528723129387,"conf","green","conf_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_conf_red_5x5.mnt",17.06491442,8.35596846421858,8.70894595578143,2.04224255908508,104.224255908508,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,8.70894595578143,104.224255908508,"conf","red","conf_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_fusion_blue_5x5.mnt",12.49990547,8.35596846421858,4.14393700578142,1.49592540033227,49.592540033227,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,4.14393700578142,49.592540033227,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_fusion_green_5x5.mnt",17.98436668,8.35596846421858,9.62839821578143,2.15227795042688,115.227795042688,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,9.62839821578143,115.227795042688,"fusion","green","fusion_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_fusion_red_5x5.mnt",26.57039275,8.35596846421858,18.2144242857814,3.1798100799181,217.98100799181,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,18.2144242857814,217.98100799181,"fusion","red","fusion_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_FV_blue_5x5.mnt",9.412605316,8.35596846421858,1.05663685178143,1.12645294872834,12.6452948728336,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,1.05663685178143,12.6452948728336,"FV","blue","FV_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_FV_green_5x5.mnt",8.871385989,8.35596846421858,0.515417524781425,1.06168255983594,6.16825598359442,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,0.515417524781425,6.16825598359442,"FV","green","FV_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_FV_red_5x5.mnt",10.90244929,8.35596846421858,2.54648082578142,1.30474993254053,30.4749932540532,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,2.54648082578142,30.4749932540532,"FV","red","FV_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_blue_5x5.mnt",7.971515984,8.35596846421858,-0.384452480218576,0.953990673628694,-4.60093263713063,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,0.384452480218576,4.60093263713063,"int","blue","int_blue"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_green_5x5.mnt",9.135687653,8.35596846421858,0.779719188781424,1.09331284483903,9.33128448390262,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,0.779719188781424,9.33128448390262,"int","green","int_green"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_red_5x5.mnt",8.905428595,8.35596846421858,0.549460130781425,1.06575660656623,6.57566065662274,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,0.549460130781425,6.57566065662274,"int","red","int_red"
"P3_MO58A\Mo_GLA\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GLA_x10_int_white_5x5.mnt",9.123687221,8.35596846421858,0.767718756781425,1.09187669389478,9.18766938947777,"MO58A_GLA.xlsx","MO58A_GLA.xlsx",20,0.780023469380308,0.174418550157959,0.767718756781425,9.18766938947777,"int","white","int_white"
