"technique","optics_value","tactile_reference","diff","ratio","diff_percent","optics_file","tactile_col_label","tactile_n","tactile_sd","tactile_se","diff_abs","diff_percent_abs","system","color","label"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_conf_blue_5x5.mnt",7.025552389,6.92502229142637,0.100530097573627,1.01451693486938,1.4516934869378,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,0.100530097573627,1.4516934869378,"conf","blue","conf_blue"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_conf_green_5x5.mnt",7.660870489,6.92502229142637,0.735848197573628,1.10625932547317,10.6259325473169,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,0.735848197573628,10.6259325473169,"conf","green","conf_green"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_conf_red_5x5.mnt",8.268933589,6.92502229142637,1.34391129757363,1.19406598867378,19.406598867378,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,1.34391129757363,19.406598867378,"conf","red","conf_red"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_fusion_blue_5x5.mnt",9.737486416,6.92502229142637,2.81246412457363,1.40613069622254,40.6130696222544,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,2.81246412457363,40.6130696222544,"fusion","blue","fusion_blue"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_fusion_green_5x5.mnt",9.596234389,6.92502229142637,2.67121209757363,1.3857333572602,38.5733357260201,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,2.67121209757363,38.5733357260201,"fusion","green","fusion_green"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_fusion_red_5x5.mnt",10.18526302,6.92502229142637,3.26024072857363,1.47079136952527,47.0791369525268,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,3.26024072857363,47.0791369525268,"fusion","red","fusion_red"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_FV_blue_5x5.mnt",8.568711668,6.92502229142637,1.64368937657363,1.23735510261225,23.735510261225,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,1.64368937657363,23.735510261225,"FV","blue","FV_blue"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_FV_green_5x5.mnt",8.607895616,6.92502229142637,1.68287332457363,1.24301341623942,24.3013416239416,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,1.68287332457363,24.3013416239416,"FV","green","FV_green"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_FV_red_5x5.mnt",11.01544015,6.92502229142637,4.09041785857363,1.5906721576388,59.0672157638804,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,4.09041785857363,59.0672157638804,"FV","red","FV_red"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_int_blue_5x5.mnt",6.014995226,6.92502229142637,-0.910027065426372,0.868588572407479,-13.1411427592521,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,0.910027065426372,13.1411427592521,"int","blue","int_blue"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_int_green_5x5.mnt",6.343424826,6.92502229142637,-0.581597465426372,0.91601507678229,-8.39849232177098,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,0.581597465426372,8.39849232177098,"int","green","int_green"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_int_red_5x5.mnt",6.060669395,6.92502229142637,-0.864352896426372,0.875184099046656,-12.4815900953344,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,0.864352896426372,12.4815900953344,"int","red","int_red"
"P3_MO58A\Mo_GRI\C45_5x5 --- C45_MF_x10_conf_blue_5x5 --- MO58A_GRI_x10_int_white_5x5.mnt",6.292721316,6.92502229142637,-0.632300975426372,0.908693293852757,-9.13067061472426,"MO58A_GRI.xlsx","MO58A_GRI.xlsx",20,0.384336027597535,0.0859401483910324,0.632300975426372,9.13067061472426,"int","white","int_white"
